"town_name","acute_time","acute_care_transit_location","acute_care_centre"
"Boigu Island",493,"Thursday Island Hospital","Townsville University Hospital"
"Saibai Island",491,"Thursday Island Hospital","Townsville University Hospital"
"Erub (Darnley) Island",527,"Thursday Island Hospital","Townsville University Hospital"
"Yorke Island",503,"Thursday Island Hospital","Townsville University Hospital"
"Iama (Yam) Island",466,"Thursday Island Hospital","Townsville University Hospital"
"Mer (Murray) Island",534,"Thursday Island Hospital","Townsville University Hospital"
"Mabuiag Island",449,"Thursday Island Hospital","Townsville University Hospital"
"Badu Island",440,"Thursday Island Hospital","Townsville University Hospital"
"St Pauls",436,"Thursday Island Hospital","Townsville University Hospital"
"Warraber Island",456,"Thursday Island Hospital","Townsville University Hospital"
"Hammond Island",411,"Thursday Island Hospital","Townsville University Hospital"
"Thursday Island",324,"Thursday Island Hospital","Townsville University Hospital"
"Horn Island",414,"Thursday Island Hospital","Townsville University Hospital"
"Seisia",447,"Bamaga Hospital","Townsville University Hospital"
"New Mapoon",447,"Bamaga Hospital","Townsville University Hospital"
"Umagico",447,"Bamaga Hospital","Townsville University Hospital"
"Bamaga",447,"Bamaga Hospital","Townsville University Hospital"
"Injinoo",447,"Bamaga Hospital","Townsville University Hospital"
"Mapoon",429,"Mapoon Primary Health Centre","Townsville University Hospital"
"Weipa",411,"Weipa Hospital","Townsville University Hospital"
"Napranum",411,"Weipa Hospital","Townsville University Hospital"
"Lockhart River",387,"Lockhart River Primary Health Centre","Townsville University Hospital"
"Aurukun",399,"Aurukun Primary Health Centre","Townsville University Hospital"
"Coen",375,"Coen Primary Health Centre","Townsville University Hospital"
"Pormpuraaw",381,"Pormpuraaw Primary Health Centre","Townsville University Hospital"
"Hope Vale",258,"Hope Vale Primary Health Centre","Townsville University Hospital"
"Cooktown",245,"Cooktown Hospital","Townsville University Hospital"
"Kowanyama",369,"Kowanyama Primary Health Centre","Townsville University Hospital"
"Wujal Wujal",222,"Wujal Wujal Primary Health Centre","Townsville University Hospital"
"Daintree",214,"Mossman Hospital","Townsville University Hospital"
"Wonga Beach",202,"Mossman Hospital","Townsville University Hospital"
"Newell",197,"Mossman Hospital","Townsville University Hospital"
"Cooya Beach",197,"Mossman Hospital","Townsville University Hospital"
"Mossman",197,"Mossman Hospital","Townsville University Hospital"
"Port Douglas",197,"Mossman Hospital","Townsville University Hospital"
"Craiglie",226,"Cairns Hospital","Townsville University Hospital"
"Oak Beach",217,"Cairns Hospital","Townsville University Hospital"
"Gununa",387,"Mornington Island Hospital","Townsville University Hospital"
"Kuranda",201,"Cairns Hospital","Townsville University Hospital"
"Yarrabah",170,"Yarrabah Hospital","Townsville University Hospital"
"Cairns",172,"Cairns Hospital","Townsville University Hospital"
"Mareeba",178,"Mareeba Hospital","Townsville University Hospital"
"Mareeba - South",178,"Mareeba Hospital","Townsville University Hospital"
"Gordonvale",195,"Cairns Hospital","Townsville University Hospital"
"Goldsborough",201,"Cairns Hospital","Townsville University Hospital"
"Dimbulah",188,"Townsville University Hospital","Townsville University Hospital"
"Chillagoe",202,"Chillagoe Primary Health Centre","Townsville University Hospital"
"Walkamin",182,"Mareeba Hospital","Townsville University Hospital"
"Tinaroo",181,"Atherton Hospital","Townsville University Hospital"
"Tolga - West",176,"Atherton Hospital","Townsville University Hospital"
"Tolga",175,"Atherton Hospital","Townsville University Hospital"
"Atherton",175,"Atherton Hospital","Townsville University Hospital"
"Yungaburra",177,"Atherton Hospital","Townsville University Hospital"
"Babinda",218,"Cairns Hospital","Townsville University Hospital"
"Bramston Beach",177,"Babinda Hospital","Townsville University Hospital"
"Malanda",175,"Atherton Hospital","Townsville University Hospital"
"Herberton",186,"Herberton Hospital","Townsville University Hospital"
"Mirriwinni",222,"Cairns Hospital","Townsville University Hospital"
"Tarzali",175,"Atherton Hospital","Townsville University Hospital"
"Karumba",351,"Normanton Hospital","Townsville University Hospital"
"Flying Fish Point",168,"Innisfail Hospital","Townsville University Hospital"
"Coconuts",168,"Innisfail Hospital","Townsville University Hospital"
"Millaa Millaa",175,"Atherton Hospital","Townsville University Hospital"
