RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Name,To_Address
Route 416 - 416 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-02 04:22:15,1990-01-01 02:00:00,1990-01-01 18:22:15.000001,965.19736435,1553.3376938,982.95538112,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 405 - 405 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-02 01:31:04,1990-01-01 02:00:00,1990-01-01 15:31:04,782.41308765,1259.17432648,812.79662504,,,,,405,1,1075,El Arish,146.0048,-17.80559,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 399 - 399 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-02 02:53:20,1990-01-01 02:00:00,1990-01-01 16:53:20,852.67350328,1372.24773096,894.26185069,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 203 - 203 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 15:21:25,1990-01-01 02:00:00,1990-01-01 05:21:25,188.73209343,303.73546964,201.71813277,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 140 - 140 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 19:29:15,1990-01-01 02:00:00,1990-01-01 09:29:15,431.62241157,694.63032758,449.37757047,,,,,140,1,1254,Injune,148.5651,-25.84311,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 139 - 139 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 22:12:03,1990-01-01 02:00:00,1990-01-01 12:12:03,570.19869884,917.64769009,613.4111369,,,,,139,1,1253,Augathella,146.5842,-25.79596,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 34 - 34 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:43:38,1990-01-01 02:00:00,1990-01-01 06:43:38,260.62200325,419.43129605,283.72326519,,,,,34,1,1367,Withcott,152.026,-27.55364,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 45 - 45 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:47:46.000001,1990-01-01 02:00:00,1990-01-01 06:47:46,261.94180043,421.55530797,287.87212713,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 52 - 52 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:51:09,1990-01-01 02:00:00,1990-01-01 06:51:09,264.83658338,426.21401887,291.26939426,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 322 - 322 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 12:07:14.000001,1990-01-01 02:00:00,1990-01-01 02:07:14,4.09744097,6.59420523,7.25184112,,,,,322,1,1214,Oakwood,152.298,-24.85082,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 221 - 221 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 22:25:18,1990-01-01 02:00:00,1990-01-01 12:25:18.000001,599.24641488,964.3955511,626.67246178,,,,,221,1,1113,Alva Beach,147.4799,-19.45506,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 184 - 184 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 15:00:47.000001,1990-01-01 02:00:00,1990-01-01 05:00:47,168.30105489,270.8548346,180.99916246,,,,,184,1,1298,Kiels Mountain,153.001,-26.6527,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 96 - 96 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 18:18:05.000001,1990-01-01 02:00:00,1990-01-01 08:18:05,349.55094528,562.54884157,378.24782806,,,,,96,1,1429,Inglewood,151.0795,-28.41751,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 89 - 89 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 22:33:06,1990-01-01 02:00:00,1990-01-01 12:33:06.000001,607.73009738,978.04874193,634.95641713,,,,,89,1,1422,Cunnamulla,145.6832,-28.06921,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 81 - 81 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:48:46,1990-01-01 02:00:00,1990-01-01 06:48:46,268.02641549,431.34756631,288.96195057,,,,,81,1,1414,Beaudesert,152.9992,-27.98632,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 78 - 78 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:53:18,1990-01-01 02:00:00,1990-01-01 06:53:18,273.35046483,439.9158103,293.47241113,,,,,78,1,1411,Mount Tamborine,153.2014,-27.97114,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 8 - 8 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:02:33,1990-01-01 02:00:00,1990-01-01 06:02:33,225.038372,362.16487809,242.87021937,,,,,8,1,1341,Samford,152.8849,-27.37146,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 27 - 27 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:38:57,1990-01-01 02:00:00,1990-01-01 06:38:57,259.67437056,417.90622603,278.92651149,,,,,27,1,1360,Brightview,152.4916,-27.51975,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 360 - 360 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-02 04:27:32,1990-01-01 02:00:00,1990-01-01 18:27:32,925.28769274,1489.1091748,988.50854602,,,,,360,1,1030,Daintree,145.3306,-16.26079,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 324 - 324 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 12:02:36,1990-01-01 02:00:00,1990-01-01 02:02:36,0.85702106,1.37924446,2.5922549,,,,,324,1,1216,Bundaberg,152.3444,-24.87052,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 311 - 311 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 17:26:06,1990-01-01 02:00:00,1990-01-01 07:26:06,310.44562273,499.6147995,326.36631435,,,,,311,1,1203,Taylors Creek,149.1545,-24.25325,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 250 - 250 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 19:17:08,1990-01-01 02:00:00,1990-01-01 09:17:08,413.49925483,665.46387569,437.74327245,,,,,250,1,1142,Nindaroo,149.1636,-21.05945,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 126 - 126 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 14:01:44,1990-01-01 02:00:00,1990-01-01 04:01:44,111.63052744,179.65227886,121.71286951,,,,,126,1,1240,Eidsvold,151.1221,-25.37064,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 1 - 1 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 15:56:18,1990-01-01 02:00:00,1990-01-01 05:56:18.000001,218.38934078,351.46427818,236.64484089,,,,,1,1,1334,Dayboro,152.8215,-27.19792,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 18 - 18 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:37:22,1990-01-01 02:00:00,1990-01-01 06:37:22,259.41138433,417.48298987,277.47719262,,,,,18,1,1351,Murphys Creek,152.0567,-27.46123,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 312 - 312 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 13:20:35,1990-01-01 02:00:00,1990-01-01 03:20:35,73.22927298,117.85132679,80.7931299,,,,,312,1,1204,Miriam Vale,151.5583,-24.328,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 258 - 258 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 18:58:52.000001,1990-01-01 02:00:00,1990-01-01 08:58:52,400.10018205,643.90011518,419.29685698,,,,,258,1,1150,Bakers Creek,149.1521,-21.20776,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 214 - 214 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 15:40:35.000001,1990-01-01 02:00:00,1990-01-01 05:40:35,204.75273832,329.51824994,220.85001691,,,,,214,1,1328,Sandstone Point,153.1273,-27.08295,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 5 - 5 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:05:23,1990-01-01 02:00:00,1990-01-01 06:05:23,232.06969823,373.48072339,245.34544655,,,,,5,1,1338,Goombungee,151.8502,-27.30485,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 415 - 415 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-02 00:53:23,1990-01-01 02:00:00,1990-01-01 14:53:23,745.63027089,1199.97800262,774.84967044,,,,,415,1,1085,Cardwell,146.0227,-18.26396,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 345 - 345 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-02 14:49:27,1990-01-01 02:00:00,1990-01-02 04:49:27,1467.81001008,2362.21595729,1610.61735547,,,,,345,1,1015,New Mapoon,142.3863,-10.87403,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 168 - 168 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 14:42:00.000001,1990-01-01 02:00:00,1990-01-01 04:42:00,148.24713817,238.5811195,162.20346213,,,,,168,1,1282,Cooroy,152.9089,-26.41875,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 160 - 160 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 14:35:48,1990-01-01 02:00:00,1990-01-01 04:35:48.000001,139.47187066,224.45866713,155.97417513,,,,,160,1,1274,Cooran,152.8222,-26.33805,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 100 - 100 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 18:17:43,1990-01-01 02:00:00,1990-01-01 08:17:43,344.84640441,554.97760181,377.83436529,,,,,100,1,1433,Stanthorpe,151.9327,-28.65779,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 3 - 3 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 15:59:07,1990-01-01 02:00:00,1990-01-01 05:59:07,228.06929766,367.04268986,239.10083356,,,,,3,1,1336,Crows Nest,152.0506,-27.26153,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 435 - 435 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 23:33:14,1990-01-01 02:00:00,1990-01-01 13:33:14,666.41872551,1072.49912238,695.11840343,,,,,435,1,1105,Bluewater Park,146.5138,-19.20308,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 281 - 281 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 15:44:13,1990-01-01 02:00:00,1990-01-01 05:44:13,205.4965509,330.71530264,224.76735175,,,,,281,1,1173,Kinka Beach,150.7876,-23.2243,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 120 - 120 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 13:30:56,1990-01-01 02:00:00,1990-01-01 03:30:56,78.30352823,126.01756538,91.00866445,,,,,120,1,1234,Hervey Bay,152.8722,-25.28535,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 117 - 117 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 12:35:36,1990-01-01 02:00:00,1990-01-01 02:35:36,32.1988224,51.81908527,35.60075296,,,,,117,1,1231,Childers,152.2765,-25.23536,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 108 - 108 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 15:59:30,1990-01-01 02:00:00,1990-01-01 05:59:30,221.81696838,356.98052112,239.71267246,,,,,108,1,1441,RBWH,153.0285,-27.447,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 7 - 7 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:05:16,1990-01-01 02:00:00,1990-01-01 06:05:16,226.94029622,365.22573454,245.56835442,,,,,7,1,1340,Samford Valley - Highvale,152.8394,-27.36508,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 409 - 409 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-02 01:22:25,1990-01-01 02:00:00,1990-01-01 15:22:25,772.75955568,1243.63844165,803.88405307,,,,,409,1,1079,Tully,145.9217,-17.93491,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 102 - 102 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-02 03:12:44,1990-01-01 02:00:00,1990-01-01 17:12:44.000001,866.31773422,1394.20603607,913.66830215,,,,,102,1,1435,Smithfield,145.690172,-16.83142,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 85 - 85 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:51:31,1990-01-01 02:00:00,1990-01-01 06:51:31.000001,272.61812471,438.73722076,291.76457638,,,,,85,1,1418,Canungra,153.1598,-28.01415,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 6 - 6 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:18:26,1990-01-01 02:00:00,1990-01-01 06:18:26,235.02266891,378.23307854,258.82942642,,,,,6,1,1339,Mount Glorious,152.7701,-27.33397,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 63 - 63 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:39:56,1990-01-01 02:00:00,1990-01-01 06:39:56,258.41528283,415.8799167,280.15438163,,,,,63,1,1396,Peak Crossing,152.7294,-27.78404,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 440 - 440 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 22:56:35,1990-01-01 02:00:00,1990-01-01 12:56:35.000001,632.76179999,1018.33344291,658.63831644,,,,,440,1,1110,Nome,146.9099,-19.37372,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 247 - 247 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 19:36:16,1990-01-01 02:00:00,1990-01-01 09:36:16,436.53894632,702.54273911,456.86609174,,,,,247,1,1139,Calen,148.7716,-20.89849,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 145 - 145 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 14:10:05,1990-01-01 02:00:00,1990-01-01 04:10:05,114.99770885,185.0712429,130.28486144,,,,,145,1,1259,Cooloola Village,152.982,-25.97598,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 128 - 128 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 13:10:09,1990-01-01 02:00:00,1990-01-01 03:10:09.000001,63.76595113,102.6215561,70.20656115,,,,,128,1,1242,Aldershot,152.6613,-25.46311,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 32 - 32 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:52:40,1990-01-01 02:00:00,1990-01-01 06:52:40,267.83463619,431.03892682,292.7621858,,,,,32,1,1365,Helidon,152.1254,-27.54838,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 49 - 49 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:43:09.000001,1990-01-01 02:00:00,1990-01-01 06:43:09,260.12796966,418.63622447,283.35675216,,,,,49,1,1382,Rosewood,152.5889,-27.63446,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 16 - 16 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:35:03,1990-01-01 02:00:00,1990-01-01 06:35:03,257.42695289,414.28935065,275.00092045,,,,,16,1,1349,Fernvale,152.6594,-27.45012,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 403 - 403 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-02 01:36:46,1990-01-01 02:00:00,1990-01-01 15:36:46,787.28555692,1267.01582134,818.50571671,,,,,403,1,1073,Silkwood,146.0203,-17.74863,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 319 - 319 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 12:17:35,1990-01-01 02:00:00,1990-01-01 02:17:35,9.21071773,14.82324297,17.64548095,,,,,319,1,1211,Bargara,152.4607,-24.81453,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 267 - 267 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 19:02:42,1990-01-01 02:00:00,1990-01-01 09:02:42,398.63992609,641.55005631,423.02769341,,,,,267,1,1159,Nebo,148.6917,-21.69028,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 229 - 229 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 21:03:48,1990-01-01 02:00:00,1990-01-01 11:03:48,523.30504115,842.1795125,544.52766288,,,,,229,1,1121,Merinda,148.1648,-20.01751,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 98 - 98 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 18:43:33,1990-01-01 02:00:00,1990-01-01 08:43:33,374.43563947,602.59695496,403.56424029,,,,,98,1,1431,Yelarbon,150.7524,-28.57416,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 76 - 76 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:44:58,1990-01-01 02:00:00,1990-01-01 06:44:58,266.0067929,428.0972923,285.1353069,,,,,76,1,1409,Gleneagle,152.9918,-27.94234,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 10 - 10 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:24:40,1990-01-01 02:00:00,1990-01-01 06:24:40,248.22851199,399.48586537,264.6203123,,,,,10,1,1343,Coominya,152.5023,-27.3916,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 407 - 407 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-02 01:41:54,1990-01-01 02:00:00,1990-01-01 15:41:54,788.64938627,1269.21069632,823.69594783,,,,,407,1,1077,Mission Beach,146.107,-17.86879,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 392 - 392 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-02 01:59:09,1990-01-01 02:00:00,1990-01-01 15:59:09,805.80169416,1296.81471531,840.97523739,,,,,392,1,1062,Coconuts,146.0431,-17.50908,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 2 - 2 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 16:06:18,1990-01-01 02:00:00,1990-01-01 06:06:18,231.99719025,373.36403288,246.25223675,,,,,2,1,1335,Esk,152.4179,-27.23674,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 289 - 289 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 18:48:14,1990-01-01 02:00:00,1990-01-01 08:48:14.000001,390.51593562,628.47573484,408.39961773,,,,,289,1,1181,Sapphire,147.7193,-23.46006,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 276 - 276 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 18:37:38,1990-01-01 02:00:00,1990-01-01 08:37:38,380.24786263,611.95084013,397.85433639,,,,,276,1,1168,Tieri,148.3497,-23.03219,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 227 - 227 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-02 07:15:17,1990-01-01 02:00:00,1990-01-01 21:15:17,1137.4214344,1830.50602194,1156.5053677,,,,,227,1,1119,Camooweal,138.119,-19.92248,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 188 - 188 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 14:56:58,1990-01-01 02:00:00,1990-01-01 04:56:58,169.73399255,273.16092883,176.9393785,,,,,188,1,1302,Nanango,151.9992,-26.6713,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 54 - 54 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 17:00:23,1990-01-01 02:00:00,1990-01-01 07:00:23,274.12498666,441.16228485,300.51247984,,,,,54,1,1387,Southbrook,151.7128,-27.67579,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 304 - 304 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 14:02:24,1990-01-01 02:00:00,1990-01-01 04:02:24,110.68236536,178.12635685,122.69771406,,,,,304,1,1196,Calliope,151.213,-23.99655,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
Route 180 - 180 - Bundaberg Hospital,1990-01-01 12:00:00,1990-01-01 18:19:26,1990-01-01 02:00:00,1990-01-01 08:19:26,348.2954132,560.52825452,379.81164463,,,,,180,1,1294,Yuleba,149.381,-26.61304,Bundaberg Hospital,"271 Bourbong St, Bundaberg Central, QLD, 4670, AUS"
