RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Name,To_Address
Route 416 - 416 - Hervey Bay Hospital,1990-01-01 12:00:00,1990-01-02 05:07:42,1990-01-01 02:00:00,1990-01-01 19:07:42.000001,1010.09524477,1625.59397279,1028.35873204,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Hervey Bay Hospital,"Cnr Nissen Street & Urraween Rd, Pialba, QLD, 4655, AUS"
Route 405 - 405 - Hervey Bay Hospital,1990-01-01 12:00:00,1990-01-02 02:16:23,1990-01-01 02:00:00,1990-01-01 16:16:23,827.29222818,1331.40044647,858.11572208,,,,,405,1,1075,El Arish,146.0048,-17.80559,Hervey Bay Hospital,"Cnr Nissen Street & Urraween Rd, Pialba, QLD, 4655, AUS"
Route 399 - 399 - Hervey Bay Hospital,1990-01-01 12:00:00,1990-01-02 03:38:42.000001,1990-01-01 02:00:00,1990-01-01 17:38:42,897.55264381,1444.47385095,939.59492882,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Hervey Bay Hospital,"Cnr Nissen Street & Urraween Rd, Pialba, QLD, 4655, AUS"
Route 203 - 203 - Hervey Bay Hospital,1990-01-01 12:00:00,1990-01-01 14:36:12,1990-01-01 02:00:00,1990-01-01 04:36:12,140.90163527,226.75965482,156.40237452,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Hervey Bay Hospital,"Cnr Nissen Street & Urraween Rd, Pialba, QLD, 4655, AUS"
Route 140 - 140 - Hervey Bay Hospital,1990-01-01 12:00:00,1990-01-01 19:49:22,1990-01-01 02:00:00,1990-01-01 09:49:22.000001,424.38172036,682.97754132,470.57956884,,,,,140,1,1254,Injune,148.5651,-25.84311,Hervey Bay Hospital,"Cnr Nissen Street & Urraween Rd, Pialba, QLD, 4655, AUS"
Route 139 - 139 - Hervey Bay Hospital,1990-01-01 12:00:00,1990-01-01 21:40:55,1990-01-01 02:00:00,1990-01-01 11:40:55,535.22945423,861.37003353,582.05256598,,,,,139,1,1253,Augathella,146.5842,-25.79596,Hervey Bay Hospital,"Cnr Nissen Street & Urraween Rd, Pialba, QLD, 4655, AUS"
Route 34 - 34 - Hervey Bay Hospital,1990-01-01 12:00:00,1990-01-01 16:13:30,1990-01-01 02:00:00,1990-01-01 06:13:30,223.24671835,359.28148526,253.93857303,,,,,34,1,1367,Withcott,152.026,-27.55364,Hervey Bay Hospital,"Cnr Nissen Street & Urraween Rd, Pialba, QLD, 4655, AUS"
Route 45 - 45 - Hervey Bay Hospital,1990-01-01 12:00:00,1990-01-01 16:17:36,1990-01-01 02:00:00,1990-01-01 06:17:36,224.56651553,361.40549718,258.05506564,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Hervey Bay Hospital,"Cnr Nissen Street & Urraween Rd, Pialba, QLD, 4655, AUS"
Route 52 - 52 - Hervey Bay Hospital,1990-01-01 12:00:00,1990-01-01 16:21:00,1990-01-01 02:00:00,1990-01-01 06:21:00,227.46129849,366.06420808,261.43688213,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Hervey Bay Hospital,"Cnr Nissen Street & Urraween Rd, Pialba, QLD, 4655, AUS"
Route 322 - 322 - Hervey Bay Hospital,1990-01-01 12:00:00,1990-01-01 13:27:07,1990-01-01 02:00:00,1990-01-01 03:27:07,77.89024081,125.35244241,87.19178274,,,,,322,1,1214,Oakwood,152.298,-24.85082,Hervey Bay Hospital,"Cnr Nissen Street & Urraween Rd, Pialba, QLD, 4655, AUS"
