RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Name,To_Address
Route 416 - 416 - Ipswich Hospital,1990-01-01 12:00:00,1990-01-02 07:16:28,1990-01-01 02:00:00,1990-01-01 21:16:28.000001,1129.84180852,1818.30777211,1155.75167505,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Ipswich Hospital,"Chelmsford Ave, Ipswich, QLD, 4305, AUS"
Route 405 - 405 - Ipswich Hospital,1990-01-01 12:00:00,1990-01-02 05:22:08,1990-01-01 02:00:00,1990-01-01 19:22:08.000001,1001.38835819,1611.58156909,1040.93958738,,,,,405,1,1075,El Arish,146.0048,-17.80559,Ipswich Hospital,"Chelmsford Ave, Ipswich, QLD, 4305, AUS"
Route 399 - 399 - Ipswich Hospital,1990-01-01 12:00:00,1990-01-02 06:53:57,1990-01-01 02:00:00,1990-01-01 20:53:57,1077.27157644,1733.70401532,1129.56511053,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Ipswich Hospital,"Chelmsford Ave, Ipswich, QLD, 4305, AUS"
Route 203 - 203 - Ipswich Hospital,1990-01-01 12:00:00,1990-01-01 13:21:15,1990-01-01 02:00:00,1990-01-01 03:21:15,62.79020626,101.0512438,80.87858913,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Ipswich Hospital,"Chelmsford Ave, Ipswich, QLD, 4305, AUS"
Route 140 - 140 - Ipswich Hospital,1990-01-01 12:00:00,1990-01-01 17:55:27.000001,1990-01-01 02:00:00,1990-01-01 07:55:27,330.88534526,532.5094101,355.68378965,,,,,140,1,1254,Injune,148.5651,-25.84311,Ipswich Hospital,"Chelmsford Ave, Ipswich, QLD, 4305, AUS"
Route 139 - 139 - Ipswich Hospital,1990-01-01 12:00:00,1990-01-01 19:49:21,1990-01-01 02:00:00,1990-01-01 09:49:21,441.82318418,711.04691262,469.30066239,,,,,139,1,1253,Augathella,146.5842,-25.79596,Ipswich Hospital,"Chelmsford Ave, Ipswich, QLD, 4305, AUS"
Route 34 - 34 - Ipswich Hospital,1990-01-01 12:00:00,1990-01-01 12:56:59,1990-01-01 02:00:00,1990-01-01 02:56:59,50.26647722,80.8962153,57.01507402,,,,,34,1,1367,Withcott,152.026,-27.55364,Ipswich Hospital,"Chelmsford Ave, Ipswich, QLD, 4305, AUS"
Route 45 - 45 - Ipswich Hospital,1990-01-01 12:00:00,1990-01-01 13:19:56.000001,1990-01-01 02:00:00,1990-01-01 03:19:56,62.77247994,101.022716,80.07601395,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Ipswich Hospital,"Chelmsford Ave, Ipswich, QLD, 4305, AUS"
Route 52 - 52 - Ipswich Hospital,1990-01-01 12:00:00,1990-01-01 13:23:21,1990-01-01 02:00:00,1990-01-01 03:23:21,65.66726289,105.6814269,83.45243503,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Ipswich Hospital,"Chelmsford Ave, Ipswich, QLD, 4305, AUS"
Route 322 - 322 - Ipswich Hospital,1990-01-01 12:00:00,1990-01-01 16:44:32,1990-01-01 02:00:00,1990-01-01 06:44:32,257.59043354,414.55244779,284.51802588,,,,,322,1,1214,Oakwood,152.298,-24.85082,Ipswich Hospital,"Chelmsford Ave, Ipswich, QLD, 4305, AUS"
