RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Name,To_Address
Route 416 - 416 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 22:49:54,1990-01-01 02:00:00,1990-01-01 12:49:54,622.73994327,1002.20479567,650.58174994,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 405 - 405 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 18:41:58,1990-01-01 02:00:00,1990-01-01 08:41:58,380.30536029,612.04337384,402.46811098,,,,,405,1,1075,El Arish,146.0048,-17.80559,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 399 - 399 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 20:05:02,1990-01-01 02:00:00,1990-01-01 10:05:02,450.56577593,725.11677832,485.59683475,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 203 - 203 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 21:51:25,1990-01-01 02:00:00,1990-01-01 11:51:25.000001,564.24075514,908.05928996,592.69441814,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 140 - 140 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 19:21:34,1990-01-01 02:00:00,1990-01-01 09:21:34,432.3357401,695.77832087,441.63371656,,,,,140,1,1254,Injune,148.5651,-25.84311,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 139 - 139 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 22:41:39,1990-01-01 02:00:00,1990-01-01 12:41:39,636.06168431,1023.64410257,642.16571225,,,,,139,1,1253,Augathella,146.5842,-25.79596,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 34 - 34 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 22:57:44,1990-01-01 02:00:00,1990-01-01 12:57:44,610.28783414,982.16502848,658.97237201,,,,,34,1,1367,Withcott,152.026,-27.55364,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 45 - 45 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 22:43:52.000001,1990-01-01 02:00:00,1990-01-01 12:43:52,605.68684874,974.76044543,645.06671405,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 52 - 52 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 22:49:20,1990-01-01 02:00:00,1990-01-01 12:49:20,613.84307625,987.88664748,650.53104223,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 322 - 322 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 18:43:50,1990-01-01 02:00:00,1990-01-01 08:43:50,382.03545287,614.82769351,404.45221941,,,,,322,1,1214,Oakwood,152.298,-24.85082,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 221 - 221 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 15:31:44,1990-01-01 02:00:00,1990-01-01 05:31:44,197.13868753,317.26459847,211.96487803,,,,,221,1,1113,Alva Beach,147.4799,-19.45506,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 184 - 184 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 21:31:08,1990-01-01 02:00:00,1990-01-01 11:31:08,543.80971186,875.17864728,572.37771045,,,,,184,1,1298,Kiels Mountain,153.001,-26.6527,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 96 - 96 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 23:37:19,1990-01-01 02:00:00,1990-01-01 13:37:19,668.32553958,1075.56784831,697.94737556,,,,,96,1,1429,Inglewood,151.0795,-28.41751,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 89 - 89 - Mackay Hospital,1990-01-01 12:00:00,1990-01-02 01:18:27,1990-01-01 02:00:00,1990-01-01 15:18:27,779.81341801,1254.99055537,799.58666335,,,,,89,1,1422,Cunnamulla,145.6832,-28.06921,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 81 - 81 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 23:16:48,1990-01-01 02:00:00,1990-01-01 13:16:48.000001,643.53509616,1035.67141714,678.29594323,,,,,81,1,1414,Beaudesert,152.9992,-27.98632,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 78 - 78 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 23:21:18,1990-01-01 02:00:00,1990-01-01 13:21:18,648.8591455,1044.23966113,682.7109482,,,,,78,1,1411,Mount Tamborine,153.2014,-27.97114,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 8 - 8 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 22:31:24,1990-01-01 02:00:00,1990-01-01 12:31:24,600.54705267,966.48872892,633.18812464,,,,,8,1,1341,Samford,152.8849,-27.37146,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 27 - 27 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 23:07:16.000001,1990-01-01 02:00:00,1990-01-01 13:07:16,632.77710576,1018.35807521,668.67412393,,,,,27,1,1360,Brightview,152.4916,-27.51975,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 360 - 360 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 21:40:10,1990-01-01 02:00:00,1990-01-01 11:40:10.000001,523.17996538,841.97822217,580.60845048,,,,,360,1,1030,Daintree,145.3306,-16.26079,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 324 - 324 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 18:51:35,1990-01-01 02:00:00,1990-01-01 08:51:35,386.03763465,621.26859364,412.29672238,,,,,324,1,1216,Bundaberg,152.3444,-24.87052,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 311 - 311 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 17:02:17,1990-01-01 02:00:00,1990-01-01 07:02:17,300.7772964,484.05510541,302.43979899,,,,,311,1,1203,Taylors Creek,149.1545,-24.25325,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 250 - 250 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 12:17:53,1990-01-01 02:00:00,1990-01-01 02:17:53,8.58931834,13.82319558,17.96018214,,,,,250,1,1142,Nindaroo,149.1636,-21.05945,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 126 - 126 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 18:56:40,1990-01-01 02:00:00,1990-01-01 08:56:40,392.52933769,631.71599786,417.01285426,,,,,126,1,1240,Eidsvold,151.1221,-25.37064,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 1 - 1 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 22:25:29,1990-01-01 02:00:00,1990-01-01 12:25:29,593.89800249,955.7880985,627.06461125,,,,,1,1,1334,Dayboro,152.8215,-27.19792,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 18 - 18 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 22:57:31,1990-01-01 02:00:00,1990-01-01 12:57:31,615.77423617,990.99455433,658.81721047,,,,,18,1,1351,Murphys Creek,152.0567,-27.46123,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 312 - 312 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 17:31:04.000001,1990-01-01 02:00:00,1990-01-01 07:31:04,312.44269851,502.82878786,331.38163803,,,,,312,1,1204,Miriam Vale,151.5583,-24.328,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 258 - 258 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 12:11:35.000001,1990-01-01 02:00:00,1990-01-01 02:11:35,5.32919675,8.57652796,11.57656888,,,,,258,1,1150,Bakers Creek,149.1521,-21.20776,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 214 - 214 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 22:10:08,1990-01-01 02:00:00,1990-01-01 12:10:08,580.26140003,933.84207026,611.52415755,,,,,214,1,1328,Sandstone Point,153.1273,-27.08295,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 5 - 5 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 22:34:18,1990-01-01 02:00:00,1990-01-01 12:34:18,605.17243343,973.93257258,635.74248154,,,,,5,1,1338,Goombungee,151.8502,-27.30485,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 415 - 415 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 18:03:23.000001,1990-01-01 02:00:00,1990-01-01 08:03:23,343.52254353,552.84704999,363.77303834,,,,,415,1,1085,Cardwell,146.0227,-18.26396,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 345 - 345 - Mackay Hospital,1990-01-01 12:00:00,1990-01-02 07:50:00,1990-01-01 02:00:00,1990-01-01 21:50:00,1065.70228272,1715.08500466,1191.37824071,,,,,345,1,1015,New Mapoon,142.3863,-10.87403,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 168 - 168 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 21:12:39,1990-01-01 02:00:00,1990-01-01 11:12:39,523.75580936,842.90495507,553.89056243,,,,,168,1,1282,Cooroy,152.9089,-26.41875,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 160 - 160 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 21:06:34,1990-01-01 02:00:00,1990-01-01 11:06:34,514.98054659,828.78251033,547.74478581,,,,,160,1,1274,Cooran,152.8222,-26.33805,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 100 - 100 - Mackay Hospital,1990-01-01 12:00:00,1990-01-02 00:22:58.000001,1990-01-01 02:00:00,1990-01-01 14:22:58,692.85076567,1115.0374527,744.09797712,,,,,100,1,1433,Stanthorpe,151.9327,-28.65779,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 3 - 3 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 22:28:13,1990-01-01 02:00:00,1990-01-01 12:28:13,601.1720139,967.49450853,629.57875545,,,,,3,1,1336,Crows Nest,152.0506,-27.26153,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 435 - 435 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 16:41:34,1990-01-01 02:00:00,1990-01-01 06:41:34.000001,264.31099815,425.36816975,281.88986351,,,,,435,1,1105,Bluewater Park,146.5138,-19.20308,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 281 - 281 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 15:53:55,1990-01-01 02:00:00,1990-01-01 05:53:55,225.09989188,362.26388492,234.11901498,,,,,281,1,1173,Kinka Beach,150.7876,-23.2243,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 120 - 120 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 20:02:46,1990-01-01 02:00:00,1990-01-01 10:02:46.000001,453.81219942,730.34140095,483.75724762,,,,,120,1,1234,Hervey Bay,152.8722,-25.28535,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 117 - 117 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 19:09:35.000001,1990-01-01 02:00:00,1990-01-01 09:09:35,407.63161906,656.02081238,430.44611632,,,,,117,1,1231,Childers,152.2765,-25.23536,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 108 - 108 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 22:28:28,1990-01-01 02:00:00,1990-01-01 12:28:28,597.32563009,961.30434144,630.0765152,,,,,108,1,1441,RBWH,153.0285,-27.447,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 7 - 7 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 22:34:06.000001,1990-01-01 02:00:00,1990-01-01 12:34:06,602.44897689,969.54958537,635.85307396,,,,,7,1,1340,Samford Valley - Highvale,152.8394,-27.36508,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 409 - 409 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 18:32:57,1990-01-01 02:00:00,1990-01-01 08:32:57.000001,370.65184728,596.50751953,393.4249073,,,,,409,1,1079,Tully,145.9217,-17.93491,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 102 - 102 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 20:24:37,1990-01-01 02:00:00,1990-01-01 10:24:37,464.21002582,747.07511395,505.16751928,,,,,102,1,1435,Smithfield,145.690172,-16.83142,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 85 - 85 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 23:19:34,1990-01-01 02:00:00,1990-01-01 13:19:34,648.12680538,1043.0610716,681.01776595,,,,,85,1,1418,Canungra,153.1598,-28.01415,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 6 - 6 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 22:46:55.000001,1990-01-01 02:00:00,1990-01-01 12:46:55,610.53134958,982.55692938,648.87291605,,,,,6,1,1339,Mount Glorious,152.7701,-27.33397,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
Route 63 - 63 - Mackay Hospital,1990-01-01 12:00:00,1990-01-01 23:08:08,1990-01-01 02:00:00,1990-01-01 13:08:08,633.9239635,1020.20376753,669.73093959,,,,,63,1,1396,Peak Crossing,152.7294,-27.78404,Mackay Hospital,"475 Bridge Rd, Mackay, QLD, 4740, AUS"
