RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Name,To_Address
Route 416 - 416 - Mt Isa Hospital,1990-01-01 12:00:00,1990-01-01 20:29:39,1990-01-01 02:00:00,1990-01-01 10:29:39,488.3001424,785.84447606,512.0279824,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Mt Isa Hospital,"30 Camooweal St, Mount Isa, QLD, 4825, AUS"
Route 405 - 405 - Mt Isa Hospital,1990-01-01 12:00:00,1990-01-02 00:10:36.000001,1990-01-01 02:00:00,1990-01-01 14:10:36,699.76347452,1126.16240146,734.57403888,,,,,405,1,1075,El Arish,146.0048,-17.80559,Mt Isa Hospital,"30 Camooweal St, Mount Isa, QLD, 4825, AUS"
Route 399 - 399 - Mt Isa Hospital,1990-01-01 12:00:00,1990-01-01 23:07:45,1990-01-01 02:00:00,1990-01-01 13:07:45,650.45057966,1046.80083127,673.15413645,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Mt Isa Hospital,"30 Camooweal St, Mount Isa, QLD, 4825, AUS"
Route 203 - 203 - Mt Isa Hospital,1990-01-01 12:00:00,1990-01-02 07:50:32,1990-01-01 02:00:00,1990-01-01 21:50:32.000001,1180.09881104,1899.18873933,1188.01035187,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Mt Isa Hospital,"30 Camooweal St, Mount Isa, QLD, 4825, AUS"
Route 140 - 140 - Mt Isa Hospital,1990-01-01 12:00:00,1990-01-02 02:16:38.000001,1990-01-01 02:00:00,1990-01-01 16:16:38,853.73476851,1373.95567521,859.86354157,,,,,140,1,1254,Injune,148.5651,-25.84311,Mt Isa Hospital,"30 Camooweal St, Mount Isa, QLD, 4825, AUS"
Route 139 - 139 - Mt Isa Hospital,1990-01-01 12:00:00,1990-01-01 23:17:16,1990-01-01 02:00:00,1990-01-01 13:17:16,670.57773062,1079.1924057,684.1902036,,,,,139,1,1253,Augathella,146.5842,-25.79596,Mt Isa Hospital,"30 Camooweal St, Mount Isa, QLD, 4825, AUS"
Route 34 - 34 - Mt Isa Hospital,1990-01-01 12:00:00,1990-01-02 05:59:28,1990-01-01 02:00:00,1990-01-01 19:59:28.000001,1060.83936822,1707.25888672,1080.0364408,,,,,34,1,1367,Withcott,152.026,-27.55364,Mt Isa Hospital,"30 Camooweal St, Mount Isa, QLD, 4825, AUS"
Route 45 - 45 - Mt Isa Hospital,1990-01-01 12:00:00,1990-01-02 05:45:40,1990-01-01 02:00:00,1990-01-01 19:45:40,1056.23838282,1699.85430367,1066.19125973,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Mt Isa Hospital,"30 Camooweal St, Mount Isa, QLD, 4825, AUS"
Route 52 - 52 - Mt Isa Hospital,1990-01-01 12:00:00,1990-01-02 05:51:09,1990-01-01 02:00:00,1990-01-01 19:51:09,1064.39461507,1712.98051335,1071.64995395,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Mt Isa Hospital,"30 Camooweal St, Mount Isa, QLD, 4825, AUS"
Route 322 - 322 - Mt Isa Hospital,1990-01-01 12:00:00,1990-01-02 04:36:14,1990-01-01 02:00:00,1990-01-01 18:36:14.000001,997.87941473,1605.93446069,999.22201508,,,,,322,1,1214,Oakwood,152.298,-24.85082,Mt Isa Hospital,"30 Camooweal St, Mount Isa, QLD, 4825, AUS"
