RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_ID,From_Location,From_x,From_y,To_Name,To_Address
Route 416 - 416 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-02 06:19:56,1990-01-01 02:00:00,1990-01-01 20:19:56,1073.9905719,1728.4237398,1100.30157848,,,,,416,1,1086,Georgetown,143.5479,-18.29241,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 405 - 405 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-02 04:49:28,1990-01-01 02:00:00,1990-01-01 18:49:28,984.75248583,1584.80867417,1010.4511956,,,,,405,1,1075,El Arish,146.0048,-17.80559,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 399 - 399 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-02 05:58:21,1990-01-01 02:00:00,1990-01-01 19:58:21,1054.70307455,1697.38345957,1079.58661543,,,,,399,1,1069,Ravenshoe,145.4842,-17.60534,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 203 - 203 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 14:15:37,1990-01-01 02:00:00,1990-01-01 04:15:37,116.34049027,187.23224444,135.14352385,,,,,203,1,1317,Beerburrum - North,152.957,-26.93545,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 140 - 140 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 17:00:16,1990-01-01 02:00:00,1990-01-01 07:00:16,275.05529472,442.65947355,300.62123085,,,,,140,1,1254,Injune,148.5651,-25.84311,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 139 - 139 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 18:53:42,1990-01-01 02:00:00,1990-01-01 08:53:42.000001,385.9030286,621.05196576,413.88391071,,,,,139,1,1253,Augathella,146.5842,-25.79596,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 34 - 34 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 12:12:26.000001,1990-01-01 02:00:00,1990-01-01 02:12:26,6.22273549,10.01454206,12.39511713,,,,,34,1,1367,Withcott,152.026,-27.55364,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 45 - 45 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 12:13:02,1990-01-01 02:00:00,1990-01-01 02:13:02,6.59959581,10.62104115,13.02333825,,,,,45,1,1378,Westbrook,151.8757,-27.60355,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 52 - 52 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 12:16:26,1990-01-01 02:00:00,1990-01-01 02:16:26,9.49437876,15.27975205,16.41188436,,,,,52,1,1385,Wyreema,151.8542,-27.65743,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
Route 322 - 322 - Toowoomba Hospital,1990-01-01 12:00:00,1990-01-01 16:40:20,1990-01-01 02:00:00,1990-01-01 06:40:20,258.66244327,416.27768366,280.45792737,,,,,322,1,1214,Oakwood,152.298,-24.85082,Toowoomba Hospital,"Pechey St, Toowoomba City, QLD, 4350, AUS"
