RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_TOWN_POINT,From_DATE_CREAT,From_DATE_RETIR,From_TOWN_PID,To_Title,To_Address
Route 1 - 1 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 12:54:57,1990-01-01 02:00:00,1990-01-01 02:54:57,40.68778584,65.48077498,54.94829306,,,,,1,1,TWP31154,2013-07-31 00:00:00,,TWN31154,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
Route 10 - 10 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 13:55:26.000001,1990-01-01 02:00:00,1990-01-01 03:55:26,100.41947262,161.60979897,115.44048208,,,,,10,1,TWP31163,2013-07-31 00:00:00,,TWN31163,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
Route 100 - 100 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 13:13:56,1990-01-01 02:00:00,1990-01-01 03:13:56,29.57596345,47.59799451,73.9406595,,,,,100,1,TWP3158,2013-07-31 00:00:00,,TWN3158,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
Route 101 - 101 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 13:45:46,1990-01-01 02:00:00,1990-01-01 03:45:46,93.78082952,150.92591716,105.76557172,,,,,101,1,TWP3159,2013-07-31 00:00:00,,TWN3159,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
Route 102 - 102 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 12:31:51,1990-01-01 02:00:00,1990-01-01 02:31:51,22.79599927,36.68667802,31.85708971,,,,,102,1,TWP3160,2013-07-31 00:00:00,,TWN3160,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
Route 103 - 103 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 12:39:54,1990-01-01 02:00:00,1990-01-01 02:39:54,31.01921961,49.9206948,39.90688678,,,,,103,1,TWP3161,2013-07-31 00:00:00,,TWN3161,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
Route 105 - 105 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-02 02:43:10.000001,1990-01-01 02:00:00,1990-01-01 16:43:10,849.85818923,1367.71691311,883.16023419,,,,,105,1,TWP3163,2013-07-31 00:00:00,,TWN3163,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
Route 106 - 106 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 15:26:13,1990-01-01 02:00:00,1990-01-01 05:26:13,189.87465591,305.57424939,206.2098135,,,,,106,1,TWP3164,2013-07-31 00:00:00,,TWN3164,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
Route 107 - 107 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 13:19:08,1990-01-01 02:00:00,1990-01-01 03:19:08,30.37806178,48.88884923,79.13509898,,,,,107,1,TWP3165,2013-07-31 00:00:00,,TWN3165,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
Route 108 - 108 - Brain Injury Rehabilitation Unit,1990-01-01 12:00:00,1990-01-01 12:35:38,1990-01-01 02:00:00,1990-01-01 02:35:38,18.50905357,29.78749388,35.63895471,,,,,108,1,TWP3166,2013-07-31 00:00:00,,TWN3166,Brain Injury Rehabilitation Unit,"199 Ipswich Rd, Woolloongabba, Brisbane, Queensland, 4102, AUS"
