RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_TOWN_POINT,From_DATE_CREAT,From_DATE_RETIR,From_TOWN_PID,To_Title,To_Address
Route 1 - 1 - Gold Coast University Hospital,1990-01-01 12:00:00,1990-01-01 13:32:13.000001,1990-01-01 02:00:00,1990-01-01 03:32:13,83.41942223,134.25081515,92.21156373,,,,,1,1,TWP31154,2013-07-31 00:00:00,,TWN31154,Gold Coast University Hospital,"1 Hospital Blvd, Southport, QLD, 4215, AUS"
Route 10 - 10 - Gold Coast University Hospital,1990-01-01 12:00:00,1990-01-01 14:23:14,1990-01-01 02:00:00,1990-01-01 04:23:14,132.17983725,212.72325344,143.23693749,,,,,10,1,TWP31163,2013-07-31 00:00:00,,TWN31163,Gold Coast University Hospital,"1 Hospital Blvd, Southport, QLD, 4215, AUS"
Route 100 - 100 - Gold Coast University Hospital,1990-01-01 12:00:00,1990-01-01 13:21:11,1990-01-01 02:00:00,1990-01-01 03:21:11,44.19456621,71.12440221,81.18938028,,,,,100,1,TWP3158,2013-07-31 00:00:00,,TWN3158,Gold Coast University Hospital,"1 Hospital Blvd, Southport, QLD, 4215, AUS"
Route 101 - 101 - Gold Coast University Hospital,1990-01-01 12:00:00,1990-01-01 14:13:35.000001,1990-01-01 02:00:00,1990-01-01 04:13:35,125.54119414,202.03937162,133.57814332,,,,,101,1,TWP3159,2013-07-31 00:00:00,,TWN3159,Gold Coast University Hospital,"1 Hospital Blvd, Southport, QLD, 4215, AUS"
Route 102 - 102 - Gold Coast University Hospital,1990-01-01 12:00:00,1990-01-01 12:38:19,1990-01-01 02:00:00,1990-01-01 02:38:19,31.7485579,51.09445335,38.3209323,,,,,102,1,TWP3160,2013-07-31 00:00:00,,TWN3160,Gold Coast University Hospital,"1 Hospital Blvd, Southport, QLD, 4215, AUS"
Route 103 - 103 - Gold Coast University Hospital,1990-01-01 12:00:00,1990-01-01 13:07:45,1990-01-01 02:00:00,1990-01-01 03:07:45,62.77958423,101.03414927,67.7484621,,,,,103,1,TWP3161,2013-07-31 00:00:00,,TWN3161,Gold Coast University Hospital,"1 Hospital Blvd, Southport, QLD, 4215, AUS"
Route 105 - 105 - Gold Coast University Hospital,1990-01-01 12:00:00,1990-01-02 03:21:09,1990-01-01 02:00:00,1990-01-01 17:21:09,892.58982561,1436.48695328,921.15163074,,,,,105,1,TWP3163,2013-07-31 00:00:00,,TWN3163,Gold Coast University Hospital,"1 Hospital Blvd, Southport, QLD, 4215, AUS"
Route 106 - 106 - Gold Coast University Hospital,1990-01-01 12:00:00,1990-01-01 16:05:51,1990-01-01 02:00:00,1990-01-01 06:05:51,226.98306342,365.29456181,245.84871585,,,,,106,1,TWP3164,2013-07-31 00:00:00,,TWN3164,Gold Coast University Hospital,"1 Hospital Blvd, Southport, QLD, 4215, AUS"
Route 107 - 107 - Gold Coast University Hospital,1990-01-01 12:00:00,1990-01-01 13:26:23,1990-01-01 02:00:00,1990-01-01 03:26:23,44.99666454,72.41525693,86.38212115,,,,,107,1,TWP3165,2013-07-31 00:00:00,,TWN3165,Gold Coast University Hospital,"1 Hospital Blvd, Southport, QLD, 4215, AUS"
Route 108 - 108 - Gold Coast University Hospital,1990-01-01 12:00:00,1990-01-01 13:18:46,1990-01-01 02:00:00,1990-01-01 03:18:46,59.80077966,96.24021842,78.7668032,,,,,108,1,TWP3166,2013-07-31 00:00:00,,TWN3166,Gold Coast University Hospital,"1 Hospital Blvd, Southport, QLD, 4215, AUS"
