RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_TOWN_POINT,From_DATE_CREAT,From_DATE_RETIR,From_TOWN_PID,To_Title,To_Address
Route 1 - 1 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 13:32:45,1990-01-01 02:00:00,1990-01-01 03:32:45,84.83072462,136.52209073,92.74517415,,,,,1,1,TWP31154,2013-07-31 00:00:00,,TWN31154,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 10 - 10 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 13:55:38,1990-01-01 02:00:00,1990-01-01 03:55:38,105.56417965,169.88941891,115.62604288,,,,,10,1,TWP31163,2013-07-31 00:00:00,,TWN31163,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 100 - 100 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 14:54:51,1990-01-01 02:00:00,1990-01-01 04:54:51.000001,132.6845122,213.53545067,174.84230789,,,,,100,1,TWP3158,2013-07-31 00:00:00,,TWN3158,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 101 - 101 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 14:57:34,1990-01-01 02:00:00,1990-01-01 04:57:34,164.17927253,264.22145561,177.57174017,,,,,101,1,TWP3159,2013-07-31 00:00:00,,TWN3159,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 102 - 102 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 14:16:27,1990-01-01 02:00:00,1990-01-01 04:16:27,125.36724565,201.7594281,136.44671538,,,,,102,1,TWP3160,2013-07-31 00:00:00,,TWN3160,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 103 - 103 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 14:30:30,1990-01-01 02:00:00,1990-01-01 04:30:30,135.79388527,218.53951157,150.49371225,,,,,103,1,TWP3161,2013-07-31 00:00:00,,TWN3161,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 105 - 105 - Gympie Hospital,1990-01-01 12:00:00,1990-01-02 00:55:39,1990-01-01 02:00:00,1990-01-01 14:55:39,744.86990986,1198.75431772,775.64222968,,,,,105,1,TWP3163,2013-07-31 00:00:00,,TWN3163,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 106 - 106 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 13:31:55,1990-01-01 02:00:00,1990-01-01 03:31:55,79.26314767,127.56192625,91.91999758,,,,,106,1,TWP3164,2013-07-31 00:00:00,,TWN3164,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 107 - 107 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 15:00:02,1990-01-01 02:00:00,1990-01-01 05:00:02,133.48661053,214.82630539,180.0355976,,,,,107,1,TWP3165,2013-07-31 00:00:00,,TWN3165,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
Route 108 - 108 - Gympie Hospital,1990-01-01 12:00:00,1990-01-01 13:57:29,1990-01-01 02:00:00,1990-01-01 03:57:29,107.02402835,172.23882237,117.48344354,,,,,108,1,TWP3166,2013-07-31 00:00:00,,TWN3166,Gympie Hospital,"12 Henry St, Gympie, QLD, 4570, AUS"
