RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_TOWN_POINT,From_DATE_CREAT,From_DATE_RETIR,From_TOWN_PID,To_Title,To_Address
Route 1 - 1 - Central West Sub-Acute Service,2021-10-04 06:08:08.000001,2021-10-04 19:34:35,2021-10-03 20:08:08,2021-10-04 09:34:35,768.76315835,1237.20685072,806.45598278,,,,,1,1,TWP31154,2013-07-31 00:00:00,,TWN31154,Central West Sub-Acute Service,Jabiru St
Route 10 - 10 - Central West Sub-Acute Service,2021-10-04 06:08:08.000001,2021-10-04 18:18:54,2021-10-03 20:08:08,2021-10-04 08:18:54,701.70394327,1129.28528945,730.76744185,,,,,10,1,TWP31163,2013-07-31 00:00:00,,TWN31163,Central West Sub-Acute Service,Jabiru St
Route 100 - 100 - Central West Sub-Acute Service,2021-10-04 06:08:08.000001,2021-10-04 19:42:36,2021-10-03 20:08:08,2021-10-04 09:42:36.000001,756.0386329,1216.72867108,814.47806682,,,,,100,1,TWP3158,2013-07-31 00:00:00,,TWN3158,Central West Sub-Acute Service,Jabiru St
Route 101 - 101 - Central West Sub-Acute Service,2021-10-04 06:08:08.000001,2021-10-04 17:29:08,2021-10-03 20:08:08,2021-10-04 07:29:08,657.09894039,1057.50035212,681.01557935,,,,,101,1,TWP3159,2013-07-31 00:00:00,,TWN3159,Central West Sub-Acute Service,Jabiru St
Route 102 - 102 - Central West Sub-Acute Service,2021-10-04 06:08:08.000001,2021-10-04 19:00:55,2021-10-03 20:08:08,2021-10-04 09:00:55.000001,743.59262459,1196.69872222,772.78447977,,,,,102,1,TWP3160,2013-07-31 00:00:00,,TWN3160,Central West Sub-Acute Service,Jabiru St
Route 103 - 103 - Central West Sub-Acute Service,2021-10-04 06:08:08.000001,2021-10-04 18:14:56,2021-10-03 20:08:08,2021-10-04 08:14:56,703.39324366,1132.00396034,726.80425618,,,,,103,1,TWP3161,2013-07-31 00:00:00,,TWN3161,Central West Sub-Acute Service,Jabiru St
Route 105 - 105 - Central West Sub-Acute Service,2021-10-04 06:08:08.000001,2021-10-04 14:49:12,2021-10-03 20:08:08,2021-10-04 04:49:12,489.67546069,788.05784072,521.07671838,,,,,105,1,TWP3163,2013-07-31 00:00:00,,TWN3163,Central West Sub-Acute Service,Jabiru St
Route 106 - 106 - Central West Sub-Acute Service,2021-10-04 06:08:08.000001,2021-10-04 17:37:59,2021-10-03 20:08:08,2021-10-04 07:37:59,668.94941547,1076.57188123,689.85337676,,,,,106,1,TWP3164,2013-07-31 00:00:00,,TWN3164,Central West Sub-Acute Service,Jabiru St
Route 107 - 107 - Central West Sub-Acute Service,2021-10-04 06:08:08.000001,2021-10-04 19:48:09,2021-10-03 20:08:08,2021-10-04 09:48:09,756.76974319,1217.9052814,820.0306435,,,,,107,1,TWP3165,2013-07-31 00:00:00,,TWN3165,Central West Sub-Acute Service,Jabiru St
Route 108 - 108 - Central West Sub-Acute Service,2021-10-04 06:08:08.000001,2021-10-04 19:13:48,2021-10-03 20:08:08,2021-10-04 09:13:48,749.66411682,1206.46986135,785.67728213,,,,,108,1,TWP3166,2013-07-31 00:00:00,,TWN3166,Central West Sub-Acute Service,Jabiru St
Route 109 - 109 - Central West Sub-Acute Service,2021-10-04 06:08:08.000001,2021-10-04 17:25:00,2021-10-03 20:08:08,2021-10-04 07:25:00.000001,653.82030663,1052.22389201,676.86701837,,,,,109,1,TWP3167,2013-07-31 00:00:00,,TWN3167,Central West Sub-Acute Service,Jabiru St
Route 11 - 11 - Central West Sub-Acute Service,2021-10-04 06:08:08.000001,2021-10-04 19:08:19,2021-10-03 20:08:08,2021-10-04 09:08:19,752.59381383,1211.18476109,780.18349733,,,,,11,1,TWP31164,2013-07-31 00:00:00,,TWN31164,Central West Sub-Acute Service,Jabiru St
Route 110 - 110 - Central West Sub-Acute Service,2021-10-04 06:08:08.000001,2021-10-04 16:43:00,2021-10-03 20:08:08,2021-10-04 06:43:00,618.38096983,995.18969389,634.88220251,,,,,110,1,TWP3168,2013-07-31 00:00:00,,TWN3168,Central West Sub-Acute Service,Jabiru St
Route 111 - 111 - Central West Sub-Acute Service,2021-10-04 06:08:08.000001,2021-10-04 18:49:26,2021-10-03 20:08:08,2021-10-04 08:49:26,734.28134561,1181.7136413,761.31533989,,,,,111,1,TWP3169,2013-07-31 00:00:00,,TWN3169,Central West Sub-Acute Service,Jabiru St
Route 112 - 112 - Central West Sub-Acute Service,2021-10-04 06:08:08.000001,2021-10-04 14:32:24,2021-10-03 20:08:08,2021-10-04 04:32:24,491.47619074,790.95584062,504.27566002,,,,,112,1,TWP3170,2013-07-31 00:00:00,,TWN3170,Central West Sub-Acute Service,Jabiru St
Route 113 - 113 - Central West Sub-Acute Service,2021-10-04 06:08:08.000001,2021-10-04 19:31:40,2021-10-03 20:08:08,2021-10-04 09:31:40,759.24001964,1221.88081392,803.54126536,,,,,113,1,TWP3171,2013-07-31 00:00:00,,TWN3171,Central West Sub-Acute Service,Jabiru St
