RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_TOWN_POINT,From_DATE_CREAT,From_DATE_RETIR,From_TOWN_PID,To_Title,To_Address
Route 1 - 1 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:34:34,1990-01-01 02:00:00,1990-01-01 08:34:34,372.6999634,599.80364951,394.56183071,,,,,1,1.0,TWP31154,2013-07-31 00:00:00,,TWN31154,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 10 - 10 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:15:28,1990-01-01 02:00:00,1990-01-01 08:15:28.000001,357.04604066,574.61105248,375.47283435,,,,,10,1.0,TWP31163,2013-07-31 00:00:00,,TWN31163,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 100 - 100 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:55:55,1990-01-01 02:00:00,1990-01-01 09:55:55,420.55375099,676.81700946,475.91213574,,,,,100,1.0,TWP3158,2013-07-31 00:00:00,,TWN3158,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 101 - 101 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:12:03,1990-01-01 02:00:00,1990-01-01 09:12:03,401.41547494,646.01687813,432.05313536,,,,,101,1.0,TWP3159,2013-07-31 00:00:00,,TWN3159,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 102 - 102 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:17:54,1990-01-01 02:00:00,1990-01-01 09:17:54,413.23648444,665.04098689,437.89783177,,,,,102,1.0,TWP3160,2013-07-31 00:00:00,,TWN3160,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 103 - 103 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:31:51,1990-01-01 02:00:00,1990-01-01 09:31:51,423.66312405,681.82107035,451.84226712,,,,,103,1.0,TWP3161,2013-07-31 00:00:00,,TWN3161,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 105 - 105 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 19:56:14,1990-01-01 02:00:00,1990-01-01 09:56:14,456.70506269,734.99702241,476.24150131,,,,,105,1.0,TWP3163,2013-07-31 00:00:00,,TWN3163,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 106 - 106 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 16:23:53,1990-01-01 02:00:00,1990-01-01 06:23:53,247.92755027,399.00151347,263.8822657,,,,,106,1.0,TWP3164,2013-07-31 00:00:00,,TWN3164,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 107 - 107 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 20:01:04,1990-01-01 02:00:00,1990-01-01 10:01:04.000001,421.35584931,678.10786417,481.07407236,,,,,107,1.0,TWP3165,2013-07-31 00:00:00,,TWN3165,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
Route 108 - 108 - Rockhampton Hospital,1990-01-01 12:00:00,1990-01-01 18:59:06,1990-01-01 02:00:00,1990-01-01 08:59:06,394.89326714,635.52038115,419.09261039,,,,,108,1.0,TWP3166,2013-07-31 00:00:00,,TWN3166,Rockhampton Hospital,"2 Canning St, Rockhampton, QLD, 4700, AUS"
