RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_TOWN_POINT,From_DATE_CREAT,From_DATE_RETIR,From_TOWN_PID,To_Title,To_Address
Route 1 - 1 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:09:15,1990-01-01 02:00:00,1990-01-01 08:09:15,335.14933845,539.37165569,369.2433732,,,,,1,1,TWP31154,2013-07-31 00:00:00,,TWN31154,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 10 - 10 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 16:18:19,1990-01-01 02:00:00,1990-01-01 06:18:19,237.85880007,382.79739834,258.31857643,,,,,10,1,TWP31163,2013-07-31 00:00:00,,TWN31163,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 100 - 100 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:17:52,1990-01-01 02:00:00,1990-01-01 08:17:52,322.44033748,518.91846032,377.8711018,,,,,100,1,TWP3158,2013-07-31 00:00:00,,TWN3158,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 101 - 101 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 16:02:46.000001,1990-01-01 02:00:00,1990-01-01 06:02:46,223.50064496,359.69014135,242.77124698,,,,,101,1,TWP3159,2013-07-31 00:00:00,,TWN3159,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 102 - 102 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:35:16,1990-01-01 02:00:00,1990-01-01 07:35:16,309.99432917,498.88851145,335.26159739,,,,,102,1,TWP3160,2013-07-31 00:00:00,,TWN3160,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 103 - 103 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 16:50:38,1990-01-01 02:00:00,1990-01-01 06:50:38,269.79494824,434.19374957,290.6348335,,,,,103,1,TWP3161,2013-07-31 00:00:00,,TWN3161,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 105 - 105 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 22:49:05,1990-01-01 02:00:00,1990-01-01 12:49:05,636.69439543,1024.66235444,649.0883038,,,,,105,1,TWP3163,2013-07-31 00:00:00,,TWN3163,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 106 - 106 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:35:45,1990-01-01 02:00:00,1990-01-01 08:35:45,355.48438762,572.0978105,395.75020411,,,,,106,1,TWP3164,2013-07-31 00:00:00,,TWN3164,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 107 - 107 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:22:57,1990-01-01 02:00:00,1990-01-01 08:22:57,323.24243581,520.20931503,382.95466472,,,,,107,1,TWP3165,2013-07-31 00:00:00,,TWN3165,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 108 - 108 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:48:52,1990-01-01 02:00:00,1990-01-01 07:48:52,312.03480067,502.17233859,348.86483667,,,,,108,1,TWP3166,2013-07-31 00:00:00,,TWN3166,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 109 - 109 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 15:59:01,1990-01-01 02:00:00,1990-01-01 05:59:01,220.22201121,354.41368124,239.01487109,,,,,109,1,TWP3167,2013-07-31 00:00:00,,TWN3167,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 11 - 11 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:42:47,1990-01-01 02:00:00,1990-01-01 07:42:47,318.99551841,513.37455033,342.78169153,,,,,11,1,TWP31164,2013-07-31 00:00:00,,TWN31164,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 110 - 110 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:08:03,1990-01-01 02:00:00,1990-01-01 08:08:03,339.64555169,546.60762395,368.04243918,,,,,110,1,TWP3168,2013-07-31 00:00:00,,TWN3168,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 111 - 111 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:24:00,1990-01-01 02:00:00,1990-01-01 07:24:00,301.46139643,485.15605989,323.99681774,,,,,111,1,TWP3169,2013-07-31 00:00:00,,TWN3169,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 112 - 112 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 20:18:43,1990-01-01 02:00:00,1990-01-01 10:18:43,479.85396406,772.25164244,498.71311251,,,,,112,1,TWP3170,2013-07-31 00:00:00,,TWN3170,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 113 - 113 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:42:47,1990-01-01 02:00:00,1990-01-01 07:42:47,305.58027502,491.78476569,342.78201845,,,,,113,1,TWP3171,2013-07-31 00:00:00,,TWN3171,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 115 - 115 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:12:25,1990-01-01 02:00:00,1990-01-01 08:12:25,342.13548404,550.61478965,372.41816764,,,,,115,1,TWP3173,2013-07-31 00:00:00,,TWN3173,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 116 - 116 - Roma Hospital,1990-01-01 12:00:00,1990-01-02 01:32:48.000001,1990-01-01 02:00:00,1990-01-01 15:32:48,791.20560362,1273.3245376,812.79347942,,,,,116,1,TWP3174,2013-07-31 00:00:00,,TWN3174,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 117 - 117 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:06:42,1990-01-01 02:00:00,1990-01-01 07:06:42,297.23058705,478.34721858,306.70503897,,,,,117,1,TWP3175,2013-07-31 00:00:00,,TWN3175,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 118 - 118 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:00:07,1990-01-01 02:00:00,1990-01-01 08:00:07,324.35564849,522.00086076,360.11700715,,,,,118,1,TWP3176,2013-07-31 00:00:00,,TWN3176,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 119 - 119 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 22:52:59,1990-01-01 02:00:00,1990-01-01 12:52:59,641.69522432,1032.71042452,652.97781786,,,,,119,1,TWP3177,2013-07-31 00:00:00,,TWN3177,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 12 - 12 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:53:01,1990-01-01 02:00:00,1990-01-01 08:53:01,333.96396731,537.46398193,413.00897379,,,,,12,1,TWP31165,2013-07-31 00:00:00,,TWN31165,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 120 - 120 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 22:59:50,1990-01-01 02:00:00,1990-01-01 12:59:50,647.87438641,1042.65484182,659.83643399,,,,,120,1,TWP3178,2013-07-31 00:00:00,,TWN3178,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 121 - 121 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 23:03:16,1990-01-01 02:00:00,1990-01-01 13:03:16,650.46599365,1046.82563774,663.26590088,,,,,121,1,TWP3180,2013-07-31 00:00:00,,TWN3180,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 122 - 122 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:32:22,1990-01-01 02:00:00,1990-01-01 08:32:22.000001,353.20069616,568.42255801,392.36135565,,,,,122,1,TWP3181,2013-07-31 00:00:00,,TWN3181,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 123 - 123 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:44:49,1990-01-01 02:00:00,1990-01-01 07:44:49,318.73814193,512.96034221,344.8149415,,,,,123,1,TWP3182,2013-07-31 00:00:00,,TWN3182,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 124 - 124 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:51:51,1990-01-01 02:00:00,1990-01-01 07:51:51.000001,316.70945191,509.69547557,351.84215946,,,,,124,1,TWP3184,2013-07-31 00:00:00,,TWN3184,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 125 - 125 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:35:35,1990-01-01 02:00:00,1990-01-01 08:35:35,353.51362536,568.92616974,395.58991089,,,,,125,1,TWP3185,2013-07-31 00:00:00,,TWN3185,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 126 - 126 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:08:26,1990-01-01 02:00:00,1990-01-01 08:08:26.000001,330.61564418,532.07536742,368.4383745,,,,,126,1,TWP3186,2013-07-31 00:00:00,,TWN3186,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 127 - 127 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:17:30.000001,1990-01-01 02:00:00,1990-01-01 08:17:30,335.51469567,539.9596423,377.50381552,,,,,127,1,TWP3188,2013-07-31 00:00:00,,TWN3188,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 128 - 128 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:04:17,1990-01-01 02:00:00,1990-01-01 07:04:17,280.19086316,450.92438633,304.2808773,,,,,128,1,TWP3189,2013-07-31 00:00:00,,TWN3189,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 129 - 129 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:27:40,1990-01-01 02:00:00,1990-01-01 07:27:40,302.95358791,487.5575141,327.66543659,,,,,129,1,TWP3191,2013-07-31 00:00:00,,TWN3191,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 13 - 13 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:06:42.000001,1990-01-01 02:00:00,1990-01-01 08:06:42,331.06273186,532.79488674,366.70089568,,,,,13,1,TWP31166,2013-07-31 00:00:00,,TWN31166,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 130 - 130 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:42:16,1990-01-01 02:00:00,1990-01-01 07:42:16,316.37005536,509.14926867,342.2618835,,,,,130,1,TWP3192,2013-07-31 00:00:00,,TWN3192,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 131 - 131 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 16:31:25,1990-01-01 02:00:00,1990-01-01 06:31:25,252.05593705,405.64552125,271.42069006,,,,,131,1,TWP3193,2013-07-31 00:00:00,,TWN3193,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 132 - 132 - Roma Hospital,1990-01-01 12:00:00,1990-01-02 02:15:33,1990-01-01 02:00:00,1990-01-01 16:15:33,832.17652715,1339.26097944,855.55582364,,,,,132,1,TWP3194,2013-07-31 00:00:00,,TWN3194,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 133 - 133 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:53:27,1990-01-01 02:00:00,1990-01-01 08:53:27,397.53880136,639.7779643,413.45646844,,,,,133,1,TWP3195,2013-07-31 00:00:00,,TWN3195,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 134 - 134 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 15:54:20,1990-01-01 02:00:00,1990-01-01 05:54:20,216.86843687,349.0166157,234.32583901,,,,,134,1,TWP3196,2013-07-31 00:00:00,,TWN3196,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 135 - 135 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:19:33,1990-01-01 02:00:00,1990-01-01 08:19:33,350.22112641,563.62739572,379.55331501,,,,,135,1,TWP3198,2013-07-31 00:00:00,,TWN3198,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 136 - 136 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:39:28,1990-01-01 02:00:00,1990-01-01 07:39:28,310.35733745,499.47271783,339.46606172,,,,,136,1,TWP3199,2013-07-31 00:00:00,,TWN3199,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 137 - 137 - Roma Hospital,1990-01-01 12:00:00,1990-01-02 16:51:16.000001,1990-01-01 02:00:00,1990-01-02 06:51:16,1482.12658523,2385.25629769,1731.26546694,,,,,137,1,TWP3201,2013-07-31 00:00:00,,TWN3201,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 138 - 138 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:26:32,1990-01-01 02:00:00,1990-01-01 08:26:32,348.32835314,560.58126632,386.52911137,,,,,138,1,TWP3202,2013-07-31 00:00:00,,TWN3202,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 139 - 139 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:38:24,1990-01-01 02:00:00,1990-01-01 07:38:24.000001,304.39248423,489.87319789,338.39708247,,,,,139,1,TWP3203,2013-07-31 00:00:00,,TWN3203,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 14 - 14 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:03:30,1990-01-01 02:00:00,1990-01-01 08:03:30.000001,328.0307008,527.91529597,363.5030811,,,,,14,1,TWP31167,2013-07-31 00:00:00,,TWN31167,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 140 - 140 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 18:22:22,1990-01-01 02:00:00,1990-01-01 08:22:22,348.08225189,560.18520395,382.36077684,,,,,140,1,TWP3204,2013-07-31 00:00:00,,TWN3204,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 141 - 141 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:22:03,1990-01-01 02:00:00,1990-01-01 07:22:03,290.47270891,467.47144619,322.05477151,,,,,141,1,TWP3205,2013-07-31 00:00:00,,TWN3205,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 142 - 142 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:38:19,1990-01-01 02:00:00,1990-01-01 07:38:19,318.16011099,512.03008972,338.3104643,,,,,142,1,TWP3207,2013-07-31 00:00:00,,TWN3207,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 143 - 143 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:43:29.000001,1990-01-01 02:00:00,1990-01-01 07:43:29,311.58135301,501.44258387,343.47840739,,,,,143,1,TWP3208,2013-07-31 00:00:00,,TWN3208,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 144 - 144 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 16:39:22,1990-01-01 02:00:00,1990-01-01 06:39:22,255.31195623,410.88558665,279.37344815,,,,,144,1,TWP3210,2013-07-31 00:00:00,,TWN3210,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 145 - 145 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:32:49,1990-01-01 02:00:00,1990-01-01 07:32:49,306.05458286,492.54809169,332.81344583,,,,,145,1,TWP3211,2013-07-31 00:00:00,,TWN3211,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 146 - 146 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:59:26,1990-01-01 02:00:00,1990-01-01 07:59:26,334.11093321,537.70050109,359.43815742,,,,,146,1,TWP3212,2013-07-31 00:00:00,,TWN3212,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 147 - 147 - Roma Hospital,1990-01-01 12:00:00,1990-01-02 02:54:18,1990-01-01 02:00:00,1990-01-01 16:54:18,863.05007345,1388.9472353,894.29305011,,,,,147,1,TWP3213,2013-07-31 00:00:00,,TWN3213,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 148 - 148 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 17:45:40,1990-01-01 02:00:00,1990-01-01 07:45:40,323.41911882,520.49365935,345.67145163,,,,,148,1,TWP3214,2013-07-31 00:00:00,,TWN3214,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
Route 149 - 149 - Roma Hospital,1990-01-01 12:00:00,1990-01-01 16:42:28,1990-01-01 02:00:00,1990-01-01 06:42:28.000001,263.2941633,423.73172941,282.46435206,,,,,149,1,TWP3215,2013-07-31 00:00:00,,TWN3215,Roma Hospital,"197-243 McDowall St, QLD, 4455, AUS"
