RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_TOWN_POINT,From_DATE_CREAT,From_DATE_RETIR,From_TOWN_PID,To_Title,To_Address
Route 1 - 1 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 12:44:27,1990-01-01 02:00:00,1990-01-01 02:44:27,37.79040984,60.81789097,44.45624223,,,,,1,1.0,TWP31154,2013-07-31 00:00:00,,TWN31154,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 10 - 10 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 13:38:07,1990-01-01 02:00:00,1990-01-01 03:38:07.000001,79.77412674,128.384269,98.12064643,,,,,10,1.0,TWP31163,2013-07-31 00:00:00,,TWN31163,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 100 - 100 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 14:06:42,1990-01-01 02:00:00,1990-01-01 04:06:42,85.64419742,137.83125092,126.69749973,,,,,100,1.0,TWP3158,2013-07-31 00:00:00,,TWN3158,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 101 - 101 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 14:48:24,1990-01-01 02:00:00,1990-01-01 04:48:24,151.5151804,243.84053417,168.39500388,,,,,101,1.0,TWP3159,2013-07-31 00:00:00,,TWN3159,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 102 - 102 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 13:28:14,1990-01-01 02:00:00,1990-01-01 03:28:14,78.32693087,126.05522835,88.2267438,,,,,102,1.0,TWP3160,2013-07-31 00:00:00,,TWN3160,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 103 - 103 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 13:42:18.000001,1990-01-01 02:00:00,1990-01-01 03:42:18,88.75357049,142.83531182,102.2939827,,,,,103,1.0,TWP3161,2013-07-31 00:00:00,,TWN3161,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 105 - 105 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-02 01:53:57,1990-01-01 02:00:00,1990-01-01 15:53:57,801.5559984,1289.98191665,833.949316,,,,,105,1.0,TWP3163,2013-07-31 00:00:00,,TWN3163,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 106 - 106 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 14:32:48,1990-01-01 02:00:00,1990-01-01 04:32:48.000001,135.94923621,218.78952518,152.79656845,,,,,106,1.0,TWP3164,2013-07-31 00:00:00,,TWN3164,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 107 - 107 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 14:11:55,1990-01-01 02:00:00,1990-01-01 04:11:55,86.44629575,139.12210564,131.91600453,,,,,107,1.0,TWP3165,2013-07-31 00:00:00,,TWN3165,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
Route 108 - 108 - Sunshine Coast University Hospital ,1990-01-01 12:00:00,1990-01-01 13:09:17,1990-01-01 02:00:00,1990-01-01 03:09:17,59.98371358,96.53462261,69.27842856,,,,,108,1.0,TWP3166,2013-07-31 00:00:00,,TWN3166,Sunshine Coast University Hospital ,"6 Doherty St, Birtinya, QLD, 4575, AUS"
