RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_TOWN_POINT,From_DATE_CREAT,From_DATE_RETIR,From_TOWN_PID,To_Title,To_Address
Route 1 - 1 - Townsville University Hospital,1990-01-01 12:00:00,1990-01-02 02:14:44,1990-01-01 02:00:00,1990-01-01 16:14:44.000001,819.61715644,1319.04859112,854.73328205,,,,,1,1,TWP31154,2013-07-31 00:00:00,,TWN31154,Townsville University Hospital,"100 Angus Smith Dr, Douglas, QLD, 4814, AUS"
Route 10 - 10 - Townsville University Hospital,1990-01-01 12:00:00,1990-01-02 01:55:53.000001,1990-01-01 02:00:00,1990-01-01 15:55:53,803.9632337,1293.85599408,835.87706069,,,,,10,1,TWP31163,2013-07-31 00:00:00,,TWN31163,Townsville University Hospital,"100 Angus Smith Dr, Douglas, QLD, 4814, AUS"
Route 100 - 100 - Townsville University Hospital,1990-01-01 12:00:00,1990-01-02 03:34:50,1990-01-01 02:00:00,1990-01-01 17:34:50,867.47094403,1396.06195107,934.83601512,,,,,100,1,TWP3158,2013-07-31 00:00:00,,TWN3158,Townsville University Hospital,"100 Angus Smith Dr, Douglas, QLD, 4814, AUS"
Route 101 - 101 - Townsville University Hospital,1990-01-01 12:00:00,1990-01-02 02:37:03,1990-01-01 02:00:00,1990-01-01 16:37:03,849.58926492,1367.28412053,877.05361443,,,,,101,1,TWP3159,2013-07-31 00:00:00,,TWN3159,Townsville University Hospital,"100 Angus Smith Dr, Douglas, QLD, 4814, AUS"
Route 102 - 102 - Townsville University Hospital,1990-01-01 12:00:00,1990-01-02 02:57:33,1990-01-01 02:00:00,1990-01-01 16:57:33,860.15367748,1384.28592849,897.55032465,,,,,102,1,TWP3160,2013-07-31 00:00:00,,TWN3160,Townsville University Hospital,"100 Angus Smith Dr, Douglas, QLD, 4814, AUS"
Route 103 - 103 - Townsville University Hospital,1990-01-01 12:00:00,1990-01-02 03:11:20,1990-01-01 02:00:00,1990-01-01 17:11:20,870.58031709,1401.06601196,911.33847584,,,,,103,1,TWP3161,2013-07-31 00:00:00,,TWN3161,Townsville University Hospital,"100 Angus Smith Dr, Douglas, QLD, 4814, AUS"
Route 105 - 105 - Townsville University Hospital,1990-01-01 12:00:00,1990-01-01 12:13:30,1990-01-01 02:00:00,1990-01-01 02:13:30,9.86420395,15.87492919,13.49740378,,,,,105,1,TWP3163,2013-07-31 00:00:00,,TWN3163,Townsville University Hospital,"100 Angus Smith Dr, Douglas, QLD, 4814, AUS"
Route 106 - 106 - Townsville University Hospital,1990-01-01 12:00:00,1990-01-02 00:06:12,1990-01-01 02:00:00,1990-01-01 14:06:12,694.84474331,1118.24645508,726.20562773,,,,,106,1,TWP3164,2013-07-31 00:00:00,,TWN3164,Townsville University Hospital,"100 Angus Smith Dr, Douglas, QLD, 4814, AUS"
Route 107 - 107 - Townsville University Hospital,1990-01-01 12:00:00,1990-01-02 03:39:57,1990-01-01 02:00:00,1990-01-01 17:39:57,868.27304235,1397.35280578,939.94421222,,,,,107,1,TWP3165,2013-07-31 00:00:00,,TWN3165,Townsville University Hospital,"100 Angus Smith Dr, Douglas, QLD, 4814, AUS"
Route 108 - 108 - Townsville University Hospital,1990-01-01 12:00:00,1990-01-02 02:38:59,1990-01-01 02:00:00,1990-01-01 16:38:59.000001,841.81046018,1354.76532276,878.98683345,,,,,108,1,TWP3166,2013-07-31 00:00:00,,TWN3166,Townsville University Hospital,"100 Angus Smith Dr, Douglas, QLD, 4814, AUS"
Route 109 - 109 - Townsville University Hospital,1990-01-01 12:00:00,1990-01-02 02:33:36,1990-01-01 02:00:00,1990-01-01 16:33:36,846.31063117,1362.00766042,873.59909735,,,,,109,1,TWP3167,2013-07-31 00:00:00,,TWN3167,Townsville University Hospital,"100 Angus Smith Dr, Douglas, QLD, 4814, AUS"
Route 11 - 11 - Townsville University Hospital,1990-01-01 12:00:00,1990-01-02 03:10:59,1990-01-01 02:00:00,1990-01-01 17:10:59.000001,875.66452629,1409.24826989,910.98442023,,,,,11,1,TWP31164,2013-07-31 00:00:00,,TWN31164,Townsville University Hospital,"100 Angus Smith Dr, Douglas, QLD, 4814, AUS"
Route 110 - 110 - Townsville University Hospital,1990-01-01 12:00:00,1990-01-01 23:12:31,1990-01-01 02:00:00,1990-01-01 13:12:31,644.27629767,1036.86426773,672.51592887,,,,,110,1,TWP3168,2013-07-31 00:00:00,,TWN3168,Townsville University Hospital,"100 Angus Smith Dr, Douglas, QLD, 4814, AUS"
Route 111 - 111 - Townsville University Hospital,1990-01-01 12:00:00,1990-01-02 03:32:54,1990-01-01 02:00:00,1990-01-01 17:32:54,894.56893555,1439.67202836,932.9033463,,,,,111,1,TWP3169,2013-07-31 00:00:00,,TWN3169,Townsville University Hospital,"100 Angus Smith Dr, Douglas, QLD, 4814, AUS"
Route 112 - 112 - Townsville University Hospital,1990-01-01 12:00:00,1990-01-01 16:45:15,1990-01-01 02:00:00,1990-01-01 06:45:15,267.35667408,430.26971983,285.25637191,,,,,112,1,TWP3170,2013-07-31 00:00:00,,TWN3170,Townsville University Hospital,"100 Angus Smith Dr, Douglas, QLD, 4814, AUS"
Route 113 - 113 - Townsville University Hospital,1990-01-01 12:00:00,1990-01-02 02:15:57,1990-01-01 02:00:00,1990-01-01 16:15:57,823.58347474,1325.43177444,855.94789908,,,,,113,1,TWP3171,2013-07-31 00:00:00,,TWN3171,Townsville University Hospital,"100 Angus Smith Dr, Douglas, QLD, 4814, AUS"
