RouteName,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Miles,Total_Kilometers,Total_Minutes,TotalWait_Minutes,TotalViolation_Minutes,RouteLayerItemID,RouteLayerItemURL,OriginOID,DestinationOID,From_TOWN_POINT,From_DATE_CREAT,From_DATE_RETIR,From_TOWN_PID,To_Title,To_Address
Route 1 - 1 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 06:05:07,1990-01-01 02:00:00,1990-01-01 20:05:07.000001,1035.24840621,1666.0741432,1085.11901323,,,,,1.0,1.0,TWP31154,2013-07-31 00:00:00,,TWN31154,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 10 - 10 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 05:46:00,1990-01-01 02:00:00,1990-01-01 19:46:00,1019.58821227,1640.87145364,1065.99652139,,,,,10.0,1.0,TWP31163,2013-07-31 00:00:00,,TWN31163,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 100 - 100 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 07:28:18,1990-01-01 02:00:00,1990-01-01 21:28:18.000001,1083.10219379,1743.08750315,1168.30211174,,,,,100.0,1.0,TWP3158,2013-07-31 00:00:00,,TWN3158,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 101 - 101 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 06:28:05,1990-01-01 02:00:00,1990-01-01 20:28:05,1065.22051469,1714.30967261,1108.08470162,,,,,101.0,1.0,TWP3159,2013-07-31 00:00:00,,TWN3159,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 102 - 102 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 06:49:13,1990-01-01 02:00:00,1990-01-01 20:49:13.000001,1075.78492724,1731.31148057,1129.21010782,,,,,102.0,1.0,TWP3160,2013-07-31 00:00:00,,TWN3160,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 103 - 103 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 07:03:38,1990-01-01 02:00:00,1990-01-01 21:03:38,1086.21156686,1748.09156404,1143.62558053,,,,,103.0,1.0,TWP3161,2013-07-31 00:00:00,,TWN3161,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 105 - 105 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-01 16:00:14,1990-01-01 02:00:00,1990-01-01 06:00:14,214.5733021,345.32294694,240.22559635,,,,,105.0,1.0,TWP3163,2013-07-31 00:00:00,,TWN3163,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 106 - 106 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 03:55:56,1990-01-01 02:00:00,1990-01-01 17:55:56,910.46972189,1465.26191463,955.92701007,,,,,106.0,1.0,TWP3164,2013-07-31 00:00:00,,TWN3164,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 107 - 107 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 07:33:36,1990-01-01 02:00:00,1990-01-01 21:33:36,1083.90429212,1744.37835786,1173.60025856,,,,,107.0,1.0,TWP3165,2013-07-31 00:00:00,,TWN3165,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
Route 108 - 108 - Cairns Hospital ,1990-01-01 12:00:00,1990-01-02 06:30:01,1990-01-01 02:00:00,1990-01-01 20:30:01,1057.44170995,1701.79087484,1110.02338203,,,,,108.0,1.0,TWP3166,2013-07-31 00:00:00,,TWN3166,Cairns Hospital ,"165 The Esplanade, Cairns, QLD, 4870, AUS"
