Town_Point,Date_Creat,Date_Retir,Town_Pid,Xcoord,Ycoord,Wkt_Geom,Town_Class,Town_Name,Population,State_Pid,Qld_Town_Point_Shp_Town_Point,Qld_Town_Point_Shp_Date_Creat
TWP31000,31/07/2013,,TWN31000,150.4974,-23.38918,NULL,1,Rockhampton,61724,3,TWP31000,7/31/2013
TWP31001,31/07/2013,,TWN31001,150.7431,-23.12635,NULL,1,Yeppoon,15141,3,TWP31001,7/31/2013
TWP31002,31/07/2013,,TWN31002,143.8229,-27.99583,NULL,4,Thargomindah,206,3,TWP31002,7/31/2013
TWP31003,31/07/2013,,TWN31003,147.976,-26.48827,NULL,4,Mitchell,911,3,TWP31003,7/31/2013
TWP31004,31/07/2013,,TWN31004,150.4556,-27.27772,NULL,2,Tara,855,3,TWP31004,7/31/2013
TWP31005,31/07/2013,,TWN31005,150.1857,-26.65858,NULL,2,Miles,1170,3,TWP31005,7/31/2013
TWP31006,31/07/2013,,TWN31006,151.1101,-26.78068,NULL,2,Jandowae,746,3,TWP31006,7/31/2013
TWP31007,31/07/2013,,TWN31007,138.119,-19.92248,NULL,4,Camooweal,187,3,TWP31007,7/31/2013
TWP31008,31/07/2013,,TWN31008,140.5092,-20.70554,NULL,3,Cloncurry,2313,3,TWP31008,7/31/2013
TWP31009,31/07/2013,,TWN31009,151.1936,-27.53233,NULL,2,Cecil Plains,202,3,TWP31009,7/31/2013
TWP31010,31/07/2013,,TWN31010,150.7524,-28.57416,NULL,2,Yelarbon,213,3,TWP31010,7/31/2013
TWP31011,31/07/2013,,TWN31011,150.3062,-28.54799,NULL,2,Goondiwindi,5509,3,TWP31011,7/31/2013
TWP31012,31/07/2013,,TWN31012,148.7879,-26.57094,NULL,2,Roma,6906,3,TWP31012,7/31/2013
TWP31013,31/07/2013,,TWN31013,149.187,-26.58483,NULL,3,Wallumbilla,262,3,TWP31013,7/31/2013
TWP31014,31/07/2013,,TWN31014,149.9628,-26.12088,NULL,3,Wandoan,330,3,TWP31014,7/31/2013
