"id","town_name","x","y","centre","minutes"
1012,"Thursday Island",142.2167,-10.5804,"Princess Alexandra Hospital",1957.4509899
1013,"Horn Island",142.2837,-10.60644,"Princess Alexandra Hospital",1972.23410399
1014,"Seisia",142.3701,-10.85188,"Princess Alexandra Hospital",1821.14992244
1015,"New Mapoon",142.3863,-10.87403,"Princess Alexandra Hospital",1817.64525219
1016,"Umagico",142.3489,-10.88916,"Princess Alexandra Hospital",1815.02391269
1017,"Bamaga",142.3893,-10.89279,"Princess Alexandra Hospital",1816.10660672
1018,"Injinoo",142.3275,-10.90209,"Princess Alexandra Hospital",1811.45060579
1019,"Mapoon",141.8976,-12.02178,"Princess Alexandra Hospital",1749.37298566
1020,"Weipa",141.8777,-12.62496,"Princess Alexandra Hospital",1690.62694434
1021,"Napranum",141.8909,-12.68153,"Princess Alexandra Hospital",1681.84809847
1022,"Lockhart River",143.3424,-12.78591,"Princess Alexandra Hospital",1731.26337647
1023,"Aurukun",141.7292,-13.35609,"Princess Alexandra Hospital",1682.51913632
1024,"Coen",143.1999,-13.9448,"Princess Alexandra Hospital",1500.59826929
1025,"Pormpuraaw",141.6245,-14.89198,"Princess Alexandra Hospital",1525.37306656
1026,"Hope Vale",145.1102,-15.2971,"Princess Alexandra Hospital",1346.39961692
1027,"Cooktown",145.2488,-15.47177,"Princess Alexandra Hospital",1309.75280035
1028,"Kowanyama",141.7435,-15.47744,"Princess Alexandra Hospital",1583.43227858
1029,"Wujal Wujal",145.3188,-15.94835,"Princess Alexandra Hospital",1254.8089556
1030,"Daintree",145.3306,-16.26079,"Princess Alexandra Hospital",1198.58360111
1031,"Wonga Beach",145.4137,-16.3472,"Princess Alexandra Hospital",1186.95170201
1032,"Newell",145.4061,-16.425,"Princess Alexandra Hospital",1179.34685493
1033,"Cooya Beach",145.4067,-16.44813,"Princess Alexandra Hospital",1172.32656331
1034,"Mossman",145.3731,-16.46155,"Princess Alexandra Hospital",1173.30366036
1035,"Port Douglas",145.4662,-16.48533,"Princess Alexandra Hospital",1168.39880264
1036,"Craiglie",145.467,-16.51455,"Princess Alexandra Hospital",1165.59447591
1037,"Oak Beach",145.5147,-16.5941,"Princess Alexandra Hospital",1155.16498829
1039,"Kuranda",145.6352,-16.82032,"Princess Alexandra Hospital",1140.17540986
1040,"Yarrabah",145.865,-16.90636,"Princess Alexandra Hospital",1116.77311545
1041,"Cairns",145.7649,-16.92311,"Princess Alexandra Hospital",1109.22247268
1042,"Mareeba",145.4221,-16.9965,"Princess Alexandra Hospital",1139.38929303
1043,"Mareeba - South",145.4211,-17.05062,"Princess Alexandra Hospital",1134.44986837
1044,"Gordonvale",145.7806,-17.09611,"Princess Alexandra Hospital",1086.75781309
1045,"Goldsborough",145.7509,-17.14553,"Princess Alexandra Hospital",1092.19466821
1046,"Dimbulah",145.1096,-17.15058,"Princess Alexandra Hospital",1159.61663199
1047,"Chillagoe",144.5225,-17.15243,"Princess Alexandra Hospital",1229.72538516
1048,"Walkamin",145.4411,-17.15428,"Princess Alexandra Hospital",1122.67340272
1049,"Tinaroo",145.5505,-17.16863,"Princess Alexandra Hospital",1121.22585883
1050,"Tolga - West",145.4506,-17.204,"Princess Alexandra Hospital",1119.6264426
1051,"Tolga",145.4776,-17.22463,"Princess Alexandra Hospital",1116.02648239
1052,"Atherton",145.4776,-17.26641,"Princess Alexandra Hospital",1112.72884046
1053,"Yungaburra",145.5851,-17.26885,"Princess Alexandra Hospital",1107.366885
1054,"Babinda",145.9219,-17.3445,"Princess Alexandra Hospital",1060.9768056
1055,"Bramston Beach",146.0198,-17.35108,"Princess Alexandra Hospital",1060.00977328
1056,"Malanda",145.5954,-17.35328,"Princess Alexandra Hospital",1094.75969211
1057,"Herberton",145.3852,-17.38376,"Princess Alexandra Hospital",1109.37404782
1058,"Mirriwinni",145.9089,-17.39951,"Princess Alexandra Hospital",1055.38510072
1059,"Tarzali",145.61,-17.42092,"Princess Alexandra Hospital",1088.26369407
1060,"Karumba",140.8383,-17.48673,"Princess Alexandra Hospital",1360.29063589
1061,"Flying Fish Point",146.0754,-17.49616,"Princess Alexandra Hospital",1046.92587181
1062,"Coconuts",146.0431,-17.50908,"Princess Alexandra Hospital",1042.33979676
1063,"Millaa Millaa",145.612,-17.51108,"Princess Alexandra Hospital",1077.53938514
1064,"Belvedere",145.9896,-17.51972,"Princess Alexandra Hospital",1044.65421537
1065,"Innisfail",146.0299,-17.52363,"Princess Alexandra Hospital",1038.56764454
1066,"Wangan",146.0083,-17.57463,"Princess Alexandra Hospital",1035.98503724
1067,"Mourilyan",146.0419,-17.583,"Princess Alexandra Hospital",1031.53134978
1068,"South Johnstone",145.9951,-17.60097,"Princess Alexandra Hospital",1032.66969428
1069,"Ravenshoe",145.4842,-17.60534,"Princess Alexandra Hospital",1101.35521586
1070,"Normanton",141.0761,-17.67331,"Princess Alexandra Hospital",1314.59772181
1071,"Mount Garnet",145.1208,-17.67675,"Princess Alexandra Hospital",1131.08045344
1072,"Burketown",139.5466,-17.74255,"Princess Alexandra Hospital",1354.84381984
1073,"Silkwood",146.0203,-17.74863,"Princess Alexandra Hospital",1019.39226228
1074,"Kurrimine",146.1047,-17.77796,"Princess Alexandra Hospital",1025.73744733
1075,"El Arish",146.0048,-17.80559,"Princess Alexandra Hospital",1013.66796843
1076,"Bingil Bay",146.0976,-17.83471,"Princess Alexandra Hospital",1025.68736316
1077,"Mission Beach",146.107,-17.86879,"Princess Alexandra Hospital",1024.685786
1078,"Wongaling Beach",146.091,-17.91401,"Princess Alexandra Hospital",1021.14254016
1079,"Tully",145.9217,-17.93491,"Princess Alexandra Hospital",1004.70450529
1080,"Doomadgee",138.824,-17.94141,"Princess Alexandra Hospital",1391.67012381
1081,"South Mission Beach",146.0909,-17.94652,"Princess Alexandra Hospital",1022.01046523
1082,"Carmoo",146.0461,-17.94788,"Princess Alexandra Hospital",1013.20991875
1083,"Tully Heads",146.0563,-18.01976,"Princess Alexandra Hospital",1011.11026584
1084,"Croydon",142.2422,-18.2051,"Princess Alexandra Hospital",1277.52098704
1085,"Cardwell",146.0227,-18.26396,"Princess Alexandra Hospital",975.60575
1086,"Georgetown",143.5479,-18.29241,"Princess Alexandra Hospital",1182.58553867
1087,"Lucinda",146.3337,-18.52889,"Princess Alexandra Hospital",961.67770716
1088,"Halifax",146.2856,-18.58094,"Princess Alexandra Hospital",954.74004745
1089,"Macknade",146.2605,-18.58664,"Princess Alexandra Hospital",953.59640139
1090,"Taylors Beach",146.3273,-18.62407,"Princess Alexandra Hospital",959.428607
1091,"Trebonne",146.0781,-18.62689,"Princess Alexandra Hospital",946.83818809
1092,"Ingham",146.1581,-18.64706,"Princess Alexandra Hospital",941.76225389
1093,"Allingham",146.2953,-18.70771,"Princess Alexandra Hospital",953.93409697
1094,"Palm Island",146.6058,-18.72665,"Princess Alexandra Hospital",1142.99198156
1095,"Balgal Beach",146.4083,-19.01722,"Princess Alexandra Hospital",908.36588097
1096,"Horseshoe Bay",146.8597,-19.11815,"Princess Alexandra Hospital",925.42126765
1097,"Toolakea",146.5788,-19.14605,"Princess Alexandra Hospital",895.85814511
1098,"Arcadia Bay",146.8651,-19.14853,"Princess Alexandra Hospital",921.3842622
1099,"Nelly Bay",146.8484,-19.15696,"Princess Alexandra Hospital",919.64035292
1100,"Saunders Beach",146.6098,-19.15875,"Princess Alexandra Hospital",892.66484531
1101,"Bluewater",146.5589,-19.1675,"Princess Alexandra Hospital",892.19460525
1102,"Picnic Bay",146.8379,-19.17814,"Princess Alexandra Hospital",923.03592324
1103,"Yabulu",146.5851,-19.20155,"Princess Alexandra Hospital",888.47991943
1104,"Pallarenda",146.773,-19.20234,"Princess Alexandra Hospital",883.05998047
1105,"Bluewater Park",146.5138,-19.20308,"Princess Alexandra Hospital",895.55620901
1106,"Black River",146.618,-19.23302,"Princess Alexandra Hospital",885.40273137
1107,"Townsville",146.8092,-19.26508,"Princess Alexandra Hospital",874.21362725
1108,"Rangewood",146.6392,-19.31192,"Princess Alexandra Hospital",881.54722567
1109,"Alice River",146.6023,-19.32778,"Princess Alexandra Hospital",884.01455417
1110,"Nome",146.9099,-19.37372,"Princess Alexandra Hospital",858.87704725
1111,"Cungulla",147.1112,-19.40128,"Princess Alexandra Hospital",859.89311742
1112,"Alligator Creek",146.9432,-19.42302,"Princess Alexandra Hospital",858.08251766
1113,"Alva Beach",147.4799,-19.45506,"Princess Alexandra Hospital",827.0868084
1114,"Giru",147.1066,-19.51333,"Princess Alexandra Hospital",839.28786562
1115,"Kalamia Estate",147.4184,-19.53428,"Princess Alexandra Hospital",819.05056551
1116,"Brandon",147.3554,-19.55389,"Princess Alexandra Hospital",816.07768451
1117,"Ayr",147.4056,-19.57545,"Princess Alexandra Hospital",813.1068012
1118,"Home Hill",147.4144,-19.66043,"Princess Alexandra Hospital",802.49705628
1119,"Camooweal",138.119,-19.92248,"Princess Alexandra Hospital",1271.73746243
1120,"Bowen",148.2418,-20.01494,"Princess Alexandra Hospital",744.6070073
1121,"Merinda",148.1648,-20.01751,"Princess Alexandra Hospital",747.23423113
1122,"Charters Towers",146.2598,-20.07699,"Princess Alexandra Hospital",863.05895323
1123,"Hideaway Bay - Dingo Beach",148.4886,-20.08489,"Princess Alexandra Hospital",729.95230319
1124,"Ravenswood",146.8898,-20.10146,"Princess Alexandra Hospital",910.96989473
1125,"Airlie Beach",148.7132,-20.26829,"Princess Alexandra Hospital",723.96132534
1126,"Cannonvale",148.6962,-20.2769,"Princess Alexandra Hospital",720.44403786
1128,"Mount Julian",148.6196,-20.37468,"Princess Alexandra Hospital",709.53247349
1129,"Proserpine",148.5821,-20.40489,"Princess Alexandra Hospital",705.77077764
1130,"Collinsville",147.8441,-20.55341,"Princess Alexandra Hospital",757.26402127
1131,"Scottville",147.8184,-20.57206,"Princess Alexandra Hospital",757.65286287
1132,"Midge Point",148.7213,-20.65029,"Princess Alexandra Hospital",691.35733541
1133,"Julia Creek",141.7435,-20.65701,"Princess Alexandra Hospital",1031.95015182
1134,"Cloncurry",140.5092,-20.70554,"Princess Alexandra Hospital",1071.81933158
1135,"Mount Isa",139.4993,-20.73044,"Princess Alexandra Hospital",1154.09798635
1136,"Richmond",143.1423,-20.73186,"Princess Alexandra Hospital",1067.30759922
1137,"Hughenden",144.1992,-20.84553,"Princess Alexandra Hospital",993.1820469
1138,"Seaforth",148.9607,-20.89524,"Princess Alexandra Hospital",659.84098225
1139,"Calen",148.7716,-20.89849,"Princess Alexandra Hospital",661.97743948
1140,"Haliday Bay - Ball Bay",148.9879,-20.90075,"Princess Alexandra Hospital",659.41737075
1141,"Killarney",152.2963,-28.33305,"Princess Alexandra Hospital",125.95798438
1142,"Nindaroo",149.1636,-21.05945,"Princess Alexandra Hospital",642.93311355
1143,"Farleigh",149.1017,-21.10705,"Princess Alexandra Hospital",634.1895335
1144,"Erakala",149.1071,-21.12326,"Princess Alexandra Hospital",636.04010989
1145,"Finch Hatton",148.6313,-21.14165,"Princess Alexandra Hospital",669.30317097
1146,"Marian",148.9428,-21.14558,"Princess Alexandra Hospital",643.46588863
1147,"Mackay",149.1664,-21.15497,"Princess Alexandra Hospital",629.39919221
1148,"Mirani",148.8653,-21.16023,"Princess Alexandra Hospital",650.62973268
1149,"Walkerston",149.0554,-21.16249,"Princess Alexandra Hospital",634.52352739
1150,"Bakers Creek",149.1521,-21.20776,"Princess Alexandra Hospital",624.56135514
1151,"Eton",148.9732,-21.26365,"Princess Alexandra Hospital",633.05896328
1152,"Hay Point",149.2905,-21.29652,"Princess Alexandra Hospital",622.1757903
1153,"Glenden",148.1138,-21.35315,"Princess Alexandra Hospital",686.70439646
1154,"Grasstree Beach",149.3067,-21.36404,"Princess Alexandra Hospital",617.76421541
1155,"Campwin Beach",149.313,-21.37793,"Princess Alexandra Hospital",616.13100743
1156,"Sarina Beach",149.3095,-21.38995,"Princess Alexandra Hospital",615.20726745
1157,"Sarina",149.216,-21.4206,"Princess Alexandra Hospital",604.20938672
1158,"Armstrong Beach",149.2873,-21.45078,"Princess Alexandra Hospital",607.87283397
1159,"Nebo",148.6917,-21.69028,"Princess Alexandra Hospital",628.2605958
1160,"Moranbah",148.0456,-22.0039,"Princess Alexandra Hospital",671.58786501
1161,"Winton",143.0414,-22.38676,"Princess Alexandra Hospital",861.06791173
1162,"Dysart",148.3481,-22.58982,"Princess Alexandra Hospital",615.11831519
1163,"Middlemount",148.7039,-22.81426,"Princess Alexandra Hospital",580.51712215
1164,"Clermont",147.6374,-22.82681,"Princess Alexandra Hospital",645.70998605
1165,"Byfield",150.6508,-22.85074,"Princess Alexandra Hospital",471.14886349
1166,"Boulia",139.9082,-22.91287,"Princess Alexandra Hospital",1106.85943023
1167,"Aramac",145.2439,-22.9698,"Princess Alexandra Hospital",733.16729224
1168,"Tieri",148.3497,-23.03219,"Princess Alexandra Hospital",603.12487199
1169,"Capella",148.0248,-23.08513,"Princess Alexandra Hospital",608.6238927
1170,"Yeppoon",150.7431,-23.12635,"Princess Alexandra Hospital",450.8685383
1171,"The Caves",150.4661,-23.17545,"Princess Alexandra Hospital",439.85838797
1172,"Mulambin",150.7857,-23.19155,"Princess Alexandra Hospital",454.45270275
1173,"Kinka Beach",150.7876,-23.2243,"Princess Alexandra Hospital",448.41139614
1174,"Glendale",150.4751,-23.24572,"Princess Alexandra Hospital",437.53607742
1175,"Emu Park",150.8238,-23.25994,"Princess Alexandra Hospital",449.29930062
1176,"Keppel Sands",150.7919,-23.3275,"Princess Alexandra Hospital",446.0681726
1177,"Rockhampton",150.4974,-23.38918,"Princess Alexandra Hospital",415.46302655
1178,"Rubyvale",147.6974,-23.42054,"Princess Alexandra Hospital",615.5464337
1179,"Gracemere",150.4558,-23.43865,"Princess Alexandra Hospital",414.04319946
1180,"Longreach",144.2475,-23.44447,"Princess Alexandra Hospital",754.35758932
1181,"Sapphire",147.7193,-23.46006,"Princess Alexandra Hospital",609.46979159
1182,"Emerald",148.1598,-23.52349,"Princess Alexandra Hospital",574.24286584
1183,"Barcaldine",145.2854,-23.55288,"Princess Alexandra Hospital",689.15282926
1184,"Blackwater",148.8834,-23.5779,"Princess Alexandra Hospital",530.91953545
1185,"Bouldercombe",150.4668,-23.57818,"Princess Alexandra Hospital",417.17048858
1186,"Bluff",149.0695,-23.57993,"Princess Alexandra Hospital",517.58857121
1187,"Mount Morgan",150.3881,-23.64464,"Princess Alexandra Hospital",431.23924003
1188,"Dingo",149.3315,-23.64629,"Princess Alexandra Hospital",499.66503901
1189,"Alpha",146.6387,-23.65028,"Princess Alexandra Hospital",678.0525876
1190,"Duaringa",149.6687,-23.71846,"Princess Alexandra Hospital",477.67254067
1191,"Willows Gemfields",147.5411,-23.73932,"Princess Alexandra Hospital",625.3939618
1192,"Mount Larcom",150.9799,-23.8124,"Princess Alexandra Hospital",368.11848685
1193,"Gladstone",151.2578,-23.84753,"Princess Alexandra Hospital",355.78865832
