"id","town_name","x","y","centre","minutes"
1012,"Thursday Island",142.2167,-10.5804,"Cairns Hospital",873.73784637
1013,"Horn Island",142.2837,-10.60644,"Cairns Hospital",888.58825539
1014,"Seisia",142.3701,-10.85188,"Cairns Hospital",739.34323652
1015,"New Mapoon",142.3863,-10.87403,"Cairns Hospital",735.78322613
1016,"Umagico",142.3489,-10.88916,"Cairns Hospital",733.20149373
1017,"Bamaga",142.3893,-10.89279,"Cairns Hospital",734.48771979
1018,"Injinoo",142.3275,-10.90209,"Cairns Hospital",730.19752794
1019,"Mapoon",141.8976,-12.02178,"Cairns Hospital",664.63314348
1020,"Weipa",141.8777,-12.62496,"Cairns Hospital",611.68474064
1021,"Napranum",141.8909,-12.68153,"Cairns Hospital",607.41266573
1022,"Lockhart River",143.3424,-12.78591,"Cairns Hospital",643.82952715
1023,"Aurukun",141.7292,-13.35609,"Cairns Hospital",605.97413664
1024,"Coen",143.1999,-13.9448,"Cairns Hospital",404.60419265
1025,"Pormpuraaw",141.6245,-14.89198,"Cairns Hospital",437.33350111
1026,"Hope Vale",145.1102,-15.2971,"Cairns Hospital",266.02858681
1027,"Cooktown",145.2488,-15.47177,"Cairns Hospital",229.19252023
1028,"Kowanyama",141.7435,-15.47744,"Cairns Hospital",732.78051779
1029,"Wujal Wujal",145.3188,-15.94835,"Cairns Hospital",148.87468558
1030,"Daintree",145.3306,-16.26079,"Cairns Hospital",91.95432005
1031,"Wonga Beach",145.4137,-16.3472,"Cairns Hospital",80.47914755
1032,"Newell",145.4061,-16.425,"Cairns Hospital",72.90884798
1033,"Cooya Beach",145.4067,-16.44813,"Cairns Hospital",65.7158131
1034,"Mossman",145.3731,-16.46155,"Cairns Hospital",66.60073186
1035,"Port Douglas",145.4662,-16.48533,"Cairns Hospital",61.58309117
1036,"Craiglie",145.467,-16.51455,"Cairns Hospital",58.80144742
1037,"Oak Beach",145.5147,-16.5941,"Cairns Hospital",48.62260008
1039,"Kuranda",145.6352,-16.82032,"Cairns Hospital",33.41998826
1040,"Yarrabah",145.865,-16.90636,"Cairns Hospital",45.98815334
1041,"Cairns",145.7649,-16.92311,"Cairns Hospital",3.83917803
1042,"Mareeba",145.4221,-16.9965,"Cairns Hospital",56.59232359
1043,"Mareeba - South",145.4211,-17.05062,"Cairns Hospital",58.12723417
1044,"Gordonvale",145.7806,-17.09611,"Cairns Hospital",27.11345261
1045,"Goldsborough",145.7509,-17.14553,"Cairns Hospital",33.94635734
1046,"Dimbulah",145.1096,-17.15058,"Cairns Hospital",88.2754127
1047,"Chillagoe",144.5225,-17.15243,"Cairns Hospital",161.66395317
1048,"Walkamin",145.4411,-17.15428,"Cairns Hospital",67.35385528
1049,"Tinaroo",145.5505,-17.16863,"Cairns Hospital",86.78075284
1050,"Tolga - West",145.4506,-17.204,"Cairns Hospital",74.74481716
1051,"Tolga",145.4776,-17.22463,"Cairns Hospital",75.76005179
1052,"Atherton",145.4776,-17.26641,"Cairns Hospital",81.00174298
1053,"Yungaburra",145.5851,-17.26885,"Cairns Hospital",71.01473132
1054,"Babinda",145.9219,-17.3445,"Cairns Hospital",50.8723431
1055,"Bramston Beach",146.0198,-17.35108,"Cairns Hospital",67.60380595
1056,"Malanda",145.5954,-17.35328,"Cairns Hospital",75.30839109
1057,"Herberton",145.3852,-17.38376,"Cairns Hospital",93.45319672
1058,"Mirriwinni",145.9089,-17.39951,"Cairns Hospital",54.46434417
1059,"Tarzali",145.61,-17.42092,"Cairns Hospital",83.02312195
1060,"Karumba",140.8383,-17.48673,"Cairns Hospital",520.19125632
1061,"Flying Fish Point",146.0754,-17.49616,"Cairns Hospital",79.44606863
1062,"Coconuts",146.0431,-17.50908,"Cairns Hospital",74.41797851
1063,"Millaa Millaa",145.612,-17.51108,"Cairns Hospital",93.87141395
1064,"Belvedere",145.9896,-17.51972,"Cairns Hospital",67.52013091
1065,"Innisfail",146.0299,-17.52363,"Cairns Hospital",71.39961744
1066,"Wangan",146.0083,-17.57463,"Cairns Hospital",74.35624963
1067,"Mourilyan",146.0419,-17.583,"Cairns Hospital",77.81090276
1068,"South Johnstone",145.9951,-17.60097,"Cairns Hospital",76.75513048
1069,"Ravenshoe",145.4842,-17.60534,"Cairns Hospital",111.20750062
1070,"Normanton",141.0761,-17.67331,"Cairns Hospital",474.21643691
1071,"Mount Garnet",145.1208,-17.67675,"Cairns Hospital",140.44383858
1072,"Burketown",139.5466,-17.74255,"Central West Sub-Acute Service",627.54846995
1073,"Silkwood",146.0203,-17.74863,"Cairns Hospital",91.47104612
1074,"Kurrimine",146.1047,-17.77796,"Cairns Hospital",98.35802401
1075,"El Arish",146.0048,-17.80559,"Cairns Hospital",95.52065852
1076,"Bingil Bay",146.0976,-17.83471,"Cairns Hospital",108.65040838
1077,"Mission Beach",146.107,-17.86879,"Cairns Hospital",108.98811703
1078,"Wongaling Beach",146.091,-17.91401,"Cairns Hospital",113.42003723
1079,"Tully",145.9217,-17.93491,"Cairns Hospital",108.63310577
1080,"Doomadgee",138.824,-17.94141,"Central West Sub-Acute Service",663.20321836
1081,"South Mission Beach",146.0909,-17.94652,"Cairns Hospital",116.66378989
1082,"Carmoo",146.0461,-17.94788,"Cairns Hospital",111.060871
1083,"Tully Heads",146.0563,-18.01976,"Cairns Hospital",122.06891745
1084,"Croydon",142.2422,-18.2051,"Cairns Hospital",378.75516174
1085,"Cardwell",146.0227,-18.26396,"Townsville University Hospital",110.1552451
1086,"Georgetown",143.5479,-18.29241,"Cairns Hospital",281.9391976
1087,"Lucinda",146.3337,-18.52889,"Townsville University Hospital",95.78898402
1088,"Halifax",146.2856,-18.58094,"Townsville University Hospital",88.62110909
1089,"Macknade",146.2605,-18.58664,"Townsville University Hospital",87.42525437
1090,"Taylors Beach",146.3273,-18.62407,"Townsville University Hospital",93.48412274
1091,"Trebonne",146.0781,-18.62689,"Townsville University Hospital",80.53296272
1092,"Ingham",146.1581,-18.64706,"Townsville University Hospital",75.33067823
1093,"Allingham",146.2953,-18.70771,"Townsville University Hospital",87.7786455
1094,"Palm Island",146.6058,-18.72665,"Townsville University Hospital",284.3648964
1095,"Balgal Beach",146.4083,-19.01722,"Townsville University Hospital",40.98592217
1096,"Horseshoe Bay",146.8597,-19.11815,"Townsville University Hospital",70.42251091
1097,"Toolakea",146.5788,-19.14605,"Townsville University Hospital",28.14502335
1098,"Arcadia Bay",146.8651,-19.14853,"Townsville University Hospital",66.25233923
1099,"Nelly Bay",146.8484,-19.15696,"Townsville University Hospital",64.50439318
1100,"Saunders Beach",146.6098,-19.15875,"Townsville University Hospital",24.8172253
1101,"Bluewater",146.5589,-19.1675,"Townsville University Hospital",24.33048709
1102,"Picnic Bay",146.8379,-19.17814,"Townsville University Hospital",67.93645744
1103,"Yabulu",146.5851,-19.20155,"Townsville University Hospital",20.55597816
1104,"Pallarenda",146.773,-19.20234,"Townsville University Hospital",20.55136238
1105,"Bluewater Park",146.5138,-19.20308,"Townsville University Hospital",27.82355798
1106,"Black River",146.618,-19.23302,"Townsville University Hospital",17.40782956
1107,"Townsville",146.8092,-19.26508,"Townsville University Hospital",15.43296472
1108,"Rangewood",146.6392,-19.31192,"Townsville University Hospital",13.49819877
1109,"Alice River",146.6023,-19.32778,"Townsville University Hospital",16.00790769
1110,"Nome",146.9099,-19.37372,"Townsville University Hospital",17.938261
1111,"Cungulla",147.1112,-19.40128,"Townsville University Hospital",34.92663311
1112,"Alligator Creek",146.9432,-19.42302,"Townsville University Hospital",23.91320446
1113,"Alva Beach",147.4799,-19.45506,"Townsville University Hospital",75.38588839
1114,"Giru",147.1066,-19.51333,"Townsville University Hospital",39.88493742
1115,"Kalamia Estate",147.4184,-19.53428,"Townsville University Hospital",67.14997686
1116,"Brandon",147.3554,-19.55389,"Townsville University Hospital",55.77882303
1117,"Ayr",147.4056,-19.57545,"Townsville University Hospital",61.79092973
1118,"Home Hill",147.4144,-19.66043,"Townsville University Hospital",70.87277856
1119,"Camooweal",138.119,-19.92248,"Central West Sub-Acute Service",543.87424823
1120,"Bowen",148.2418,-20.01494,"Townsville University Hospital",136.0164966
1121,"Merinda",148.1648,-20.01751,"Townsville University Hospital",128.9773991
1122,"Charters Towers",146.2598,-20.07699,"Townsville University Hospital",90.71172953
1123,"Hideaway Bay - Dingo Beach",148.4886,-20.08489,"Townsville University Hospital",183.9408397
1124,"Ravenswood",146.8898,-20.10146,"Townsville University Hospital",82.7330207
1125,"Airlie Beach",148.7132,-20.26829,"Townsville University Hospital",187.9391187
1126,"Cannonvale",148.6962,-20.2769,"Townsville University Hospital",184.2158004
1128,"Mount Julian",148.6196,-20.37468,"Townsville University Hospital",176.5526797
1129,"Proserpine",148.5821,-20.40489,"Townsville University Hospital",175.0745524
1130,"Collinsville",147.8441,-20.55341,"Townsville University Hospital",180.8340175
1131,"Scottville",147.8184,-20.57206,"Townsville University Hospital",184.6055052
1132,"Midge Point",148.7213,-20.65029,"Townsville University Hospital",197.2785208
1133,"Julia Creek",141.7435,-20.65701,"Central West Sub-Acute Service",301.29055709
1134,"Cloncurry",140.5092,-20.70554,"Central West Sub-Acute Service",343.07851912
1135,"Mount Isa",139.4993,-20.73044,"Central West Sub-Acute Service",423.92631159
1136,"Richmond",143.1423,-20.73186,"Townsville University Hospital",338.2240319
1137,"Hughenden",144.1992,-20.84553,"Townsville University Hospital",258.6784947
