"id","town_name","x","y","rehab_centre","minutes"
1012,"Thursday Island",142.2167,-10.5804,"Cairns Hospital",977.278586185
1013,"Horn Island",142.2837,-10.60644,"Cairns Hospital",991.955002195
1014,"Seisia",142.3701,-10.85188,"Cairns Hospital",842.14916386
1015,"New Mapoon",142.3863,-10.87403,"Cairns Hospital",838.584054015
1016,"Umagico",142.3489,-10.88916,"Cairns Hospital",835.926384015
1017,"Bamaga",142.3893,-10.89279,"Cairns Hospital",837.138957345
1018,"Injinoo",142.3275,-10.90209,"Cairns Hospital",832.59118507
1019,"Mapoon",141.8976,-12.02178,"Cairns Hospital",768.40852244
1020,"Weipa",141.8777,-12.62496,"Cairns Hospital",713.05227822
1021,"Napranum",141.8909,-12.68153,"Cairns Hospital",706.522240415
1022,"Lockhart River",143.3424,-12.78591,"Cairns Hospital",748.961990875
1023,"Aurukun",141.7292,-13.35609,"Cairns Hospital",706.14408337
1024,"Coen",143.1999,-13.9448,"Cairns Hospital",517.186593525
1025,"Pormpuraaw",141.6245,-14.89198,"Cairns Hospital",545.676107605
1026,"Hope Vale",145.1102,-15.2971,"Cairns Hospital",372.542846655
1027,"Cooktown",145.2488,-15.47177,"Cairns Hospital",335.677292415
1028,"Kowanyama",141.7435,-15.47744,"Cairns Hospital",764.529042295
1029,"Wujal Wujal",145.3188,-15.94835,"Cairns Hospital",267.10697799
1030,"Daintree",145.3306,-16.26079,"Cairns Hospital",210.045394025
1031,"Wonga Beach",145.4137,-16.3472,"Cairns Hospital",198.423943475
1032,"Newell",145.4061,-16.425,"Cairns Hospital",190.77838214
1033,"Cooya Beach",145.4067,-16.44813,"Cairns Hospital",183.62191915
1034,"Mossman",145.3731,-16.46155,"Cairns Hospital",184.58166038
1035,"Port Douglas",145.4662,-16.48533,"Cairns Hospital",179.540114835
1036,"Craiglie",145.467,-16.51455,"Cairns Hospital",176.71157866
1037,"Oak Beach",145.5147,-16.5941,"Cairns Hospital",166.38753359
1039,"Kuranda",145.6352,-16.82032,"Cairns Hospital",151.40248918
1040,"Yarrabah",145.865,-16.90636,"Cairns Hospital",146.51604817
1041,"Cairns",145.7649,-16.92311,"Cairns Hospital",121.935812865
1042,"Mareeba",145.4221,-16.9965,"Cairns Hospital",162.597050545
1043,"Mareeba - South",145.4211,-17.05062,"Cairns Hospital",160.947298535
1044,"Gordonvale",145.7806,-17.09611,"Cairns Hospital",122.913130255
1045,"Goldsborough",145.7509,-17.14553,"Cairns Hospital",128.96102357
1046,"Dimbulah",145.1096,-17.15058,"Cairns Hospital",188.4890811
1047,"Chillagoe",144.5225,-17.15243,"Cairns Hospital",260.122615135
1048,"Walkamin",145.4411,-17.15428,"Cairns Hospital",160.02969049
1049,"Tinaroo",145.5505,-17.16863,"Cairns Hospital",169.08843357
1050,"Tolga - West",145.4506,-17.204,"Cairns Hospital",162.30367173
1051,"Tolga",145.4776,-17.22463,"Cairns Hospital",161.032853245
1052,"Atherton",145.4776,-17.26641,"Cairns Hospital",162.05462704
1053,"Yungaburra",145.5851,-17.26885,"Cairns Hospital",154.67698161
1054,"Babinda",145.9219,-17.3445,"Cairns Hospital",123.3897452
1055,"Bramston Beach",146.0198,-17.35108,"Cairns Hospital",131.324892175
1056,"Malanda",145.5954,-17.35328,"Cairns Hospital",150.804824245
1057,"Herberton",145.3852,-17.38376,"Cairns Hospital",166.80685316
1058,"Mirriwinni",145.9089,-17.39951,"Cairns Hospital",122.475844785
1059,"Tarzali",145.61,-17.42092,"Cairns Hospital",151.613571175
1060,"Karumba",140.8383,-17.48673,"Cairns Hospital",551.91631546
1061,"Flying Fish Point",146.0754,-17.49616,"Cairns Hospital",130.877148315
1062,"Coconuts",146.0431,-17.50908,"Cairns Hospital",126.101393805
1063,"Millaa Millaa",145.612,-17.51108,"Cairns Hospital",151.796618025
1064,"Belvedere",145.9896,-17.51972,"Cairns Hospital",123.796599805
1065,"Innisfail",146.0299,-17.52363,"Cairns Hospital",122.70099102
1066,"Wangan",146.0083,-17.57463,"Cairns Hospital",122.960616815
1067,"Mourilyan",146.0419,-17.583,"Cairns Hospital",122.43876823
1068,"South Johnstone",145.9951,-17.60097,"Cairns Hospital",122.48249929
1069,"Ravenshoe",145.4842,-17.60534,"Cairns Hospital",171.90652851
1070,"Normanton",141.0761,-17.67331,"Cairns Hospital",506.076564905
1071,"Mount Garnet",145.1208,-17.67675,"Cairns Hospital",200.44997264
1072,"Burketown",139.5466,-17.74255,"Central West Sub-Acute Service",692.427999925
1073,"Silkwood",146.0203,-17.74863,"Cairns Hospital",123.18939966
1074,"Kurrimine",146.1047,-17.77796,"Cairns Hospital",129.799603055
