"SA1_CODE11","seifa_decile","seifa_percentile","ra","ra_name"
30101100101,9,88,0,"Major Cities of Australia"
30101100102,9,87,0,"Major Cities of Australia"
30101100103,7,70,0,"Major Cities of Australia"
30101100104,9,86,0,"Major Cities of Australia"
30101100105,1,9,0,"Major Cities of Australia"
30101100106,9,83,0,"Major Cities of Australia"
30101100107,5,49,0,"Major Cities of Australia"
30101100108,7,69,0,"Major Cities of Australia"
30101100109,3,30,0,"Major Cities of Australia"
30101100110,6,55,0,"Major Cities of Australia"
30101100111,5,50,0,"Major Cities of Australia"
30101100112,5,47,0,"Major Cities of Australia"
30101100113,5,48,0,"Major Cities of Australia"
30101100114,6,59,0,"Major Cities of Australia"
30101100115,5,42,0,"Major Cities of Australia"
30101100116,3,27,0,"Major Cities of Australia"
30101100117,4,32,0,"Major Cities of Australia"
30101100118,5,50,0,"Major Cities of Australia"
30101100119,5,50,0,"Major Cities of Australia"
30101100120,7,63,0,"Major Cities of Australia"
30101100121,7,64,0,"Major Cities of Australia"
30101100122,9,84,0,"Major Cities of Australia"
30101100123,2,19,0,"Major Cities of Australia"
30101100124,5,44,0,"Major Cities of Australia"
30101100125,4,39,0,"Major Cities of Australia"
30101100126,3,27,0,"Major Cities of Australia"
30101100127,4,39,0,"Major Cities of Australia"
30101100128,6,54,0,"Major Cities of Australia"
30101100129,5,43,0,"Major Cities of Australia"
30101100130,4,32,0,"Major Cities of Australia"
30101100131,5,49,0,"Major Cities of Australia"
30101100132,2,15,0,"Major Cities of Australia"
30101100133,3,29,0,"Major Cities of Australia"
30101100134,7,65,0,"Major Cities of Australia"
30101100135,7,67,0,"Major Cities of Australia"
30101100136,7,68,0,"Major Cities of Australia"
30101100137,7,65,0,"Major Cities of Australia"
30101100138,8,72,0,"Major Cities of Australia"
30101100139,5,44,0,"Major Cities of Australia"
30101100140,7,63,0,"Major Cities of Australia"
30101100141,9,89,0,"Major Cities of Australia"
30101100142,10,99,0,"Major Cities of Australia"
30101100143,NA,NA,0,"Major Cities of Australia"
30101100144,NA,NA,0,"Major Cities of Australia"
30101100145,6,57,0,"Major Cities of Australia"
30101100201,9,81,0,"Major Cities of Australia"
30101100202,10,97,0,"Major Cities of Australia"
30101100203,9,83,0,"Major Cities of Australia"
30101100204,9,87,0,"Major Cities of Australia"
30101100205,9,87,0,"Major Cities of Australia"
30101100206,9,86,0,"Major Cities of Australia"
30101100207,9,87,0,"Major Cities of Australia"
30101100208,9,86,0,"Major Cities of Australia"
30101100209,9,87,0,"Major Cities of Australia"
30101100210,10,98,0,"Major Cities of Australia"
30101100210,10,98,0,"Major Cities of Australia"
30101100211,NA,NA,0,"Major Cities of Australia"
30101100212,NA,NA,0,"Major Cities of Australia"
30101100213,9,82,0,"Major Cities of Australia"
