"SA2_CODE11","seifa_decile","seifa_percentile","seifa_quintile","ra","ra_name"
301011001,6,56,3,0,"Major Cities of Australia"
301011002,10,91,5,0,"Major Cities of Australia"
301011003,8,72,4,0,"Major Cities of Australia"
301011004,6,57,3,0,"Major Cities of Australia"
301011005,5,45,3,0,"Major Cities of Australia"
301011006,9,86,5,0,"Major Cities of Australia"
301021007,6,56,3,0,"Major Cities of Australia"
301021008,9,86,5,0,"Major Cities of Australia"
301021009,8,77,4,0,"Major Cities of Australia"
301021010,1,5,1,2,"Outer Regional Australia"
301021011,10,94,5,0,"Major Cities of Australia"
301021012,9,87,5,0,"Major Cities of Australia"
301021013,7,61,4,0,"Major Cities of Australia"
301031014,NA,NA,NA,0,"Major Cities of Australia"
301031015,8,71,4,0,"Major Cities of Australia"
301031016,8,74,4,0,"Major Cities of Australia"
301031017,8,71,4,0,"Major Cities of Australia"
301031018,7,67,4,0,"Major Cities of Australia"
301031019,10,99,5,0,"Major Cities of Australia"
301031020,5,48,3,0,"Major Cities of Australia"
301031021,4,36,2,0,"Major Cities of Australia"
302011022,7,70,4,0,"Major Cities of Australia"
302011023,10,99,5,0,"Major Cities of Australia"
302011024,9,89,5,0,"Major Cities of Australia"
302011025,8,77,4,0,"Major Cities of Australia"
302011026,10,98,5,0,"Major Cities of Australia"
302021027,8,71,4,0,"Major Cities of Australia"
302021028,4,31,2,0,"Major Cities of Australia"
302021029,9,81,5,0,"Major Cities of Australia"
302021030,7,66,4,0,"Major Cities of Australia"
302021031,8,80,4,0,"Major Cities of Australia"
302021032,4,37,2,0,"Major Cities of Australia"
302021033,6,57,3,0,"Major Cities of Australia"
302021034,9,85,5,0,"Major Cities of Australia"
302031035,7,62,4,0,"Major Cities of Australia"
302031036,1,4,1,0,"Major Cities of Australia"
302031037,3,21,2,0,"Major Cities of Australia"
302031038,7,64,4,0,"Major Cities of Australia"
302031039,6,60,3,0,"Major Cities of Australia"
302031040,6,60,3,0,"Major Cities of Australia"
302041041,7,70,4,0,"Major Cities of Australia"
302041042,6,55,3,0,"Major Cities of Australia"
302041043,4,37,2,0,"Major Cities of Australia"
302041044,6,60,3,0,"Major Cities of Australia"
302041045,6,52,3,0,"Major Cities of Australia"
302041046,2,19,1,0,"Major Cities of Australia"
303011047,10,93,5,0,"Major Cities of Australia"
303011048,8,71,4,0,"Major Cities of Australia"
303011049,8,77,4,0,"Major Cities of Australia"
303011050,5,50,3,0,"Major Cities of Australia"
303011051,10,94,5,0,"Major Cities of Australia"
303021052,7,64,4,0,"Major Cities of Australia"
